,Item,Description,Blank 1,Blank 2,Blank 3,Blank 4,Blank 5
19,3.2 Performing loans to financial institutions secured by non-Level 1 HQLA and unsecured performing loans to financial institutions,"Các khoản cho vay không phải nợ xấu (performing loans), bao gồm được đảm bảo bằng tài sản khác không phải tài sản HQLA cấp 1 và không bảo đảm (unsecured performing loans) đối với các TCTC",10562874588403.0,12705327718000.0,101360000000.0,29284000000.0,12548636877644.85
20,"3.3 Performing loans to non-financial corporate clients, retail and small business customers, sovereigns, central banks and PSEs with RW >35% under the Basel II standardised approach for credit risk","Các khoản cho vay không phải nợ xấu (performing loans) đối với các khách hàng doanh nghiệp phi tài chính, khách hàng bán lẻ và kinh doanh nhỏ, các chính phủ, NHTW và tổ chức công lập với hệ số rủi ro >35% theo phương pháp chuẩn hóa (SA) đối với rủi ro tín dụng",0.0,57437660628400.0,1213450826679.0,52586818815962.0,25808479136702.848
21,"3.4 Performing loans to non-financial corporate clients, retail and small business customers, sovereigns, central banks and PSEs with RW<=35% under the Basel II standardised approach for credit risk","Các khoản cho vay không phải nợ xấu (performing loans) đối với các khách hàng doanh nghiệp phi tài chính, khách hàng bán lẻ và kinh doanh nhỏ, các chính phủ, NHTW và tổ chức công lập với hệ số rủi ro ≤35% theo phương pháp chuẩn hóa (SA) đối với rủi ro tín dụng",0.0,3585918351195.0,157500000.0,285616116310.0,141217734153.0
22,"3.5 Performing residential mortgages with RW >35% under the Basel II standardised approach for credit risk Performing residential mortgages, of which:","Các khoản cho vay thế chấp nhà ở không phải nợ xấu, với hệ số rủi ro >35% theo phương pháp chuẩn hóa (SA) đối với rủi ro tín dụng - - - - -",0.0,0.0,0.0,0.0,0.0
23,"3.6 Performing residential mortgages with RW <= 35% under the Basel II standardised approach for credit risk Performing residential mortgages, of which:","Các khoản cho vay thế chấp nhà ở không phải nợ xấu, với hệ số rủi ro ≤35% theo phương pháp chuẩn hóa (SA) đối với rủi ro tín dụng - - - - -",0.0,0.0,0.0,0.0,0.0
24,"3.7 Securities that are not in default and do not qualify as HQLA, including exchange-traded equities Performing residential mortgages, of which:","Chứng khoán không vỡ nợ và không đủ điều kiện là tài sản HQLA, bao gồm cả cổ phiếu được giao dịch trên sàn",143985580286.0,0.0,403368630000.0,4853350662600.0,5355179168266.3
25,4 Assets with matching interdependent liabilities,Các tài sản với các khoản nợ phải trả phụ thuộc,0.0,0.0,0.0,0.0,0.0
26,5 Other assets:,Các tài sản khác:,4087547569858.0,6496669092327.0,0.0,0.0,10412654082176.0
27,"5.1 Physical traded commodities, including gold","Các hàng hóa được giao dịch trực tiếp, bao gồm vàng.",1552950000.0,0.0,0.0,0.0,1320007500.0
28,5.2 Assets posted as initial margin for derivative contracts and contributions to default funds of CCPs,Các tài sản được đặt làm ký quỹ ban đầu (initial margin) cho các hợp đồng tài chính phái sinh và đóng góp vào quỹ đảm bảo của tổ chức giao dịch trung gian (CCP).,,0.0,,,0.0
29,5.3 NSFR derivative assets,Tài sản phái sinh NSFR,0.0,139093740000.0,,,139093740000.0
30,5.4 NSFR derivative liabilities before deduction of variation margin posted,NPT phái sinh trước khi giảm trừ ký quỹ biến đổi (variation margin) được đặt,0.0,-97001800000.0,,,-4850090000.0
31,5.5 All other assets not included in the above categories,Tất cả các tài sản khác không có thuộc các khoản mục trên,4085994619858.0,3722939958587.0,23831789906.0,2707805403834.0,10278410432176.0
32,6 Off-balance sheet items,Các khoản mục ngoại bảng,13736087444898.0,0.0,0.0,0.0,686804372244.9
33,7 Total RSF,Tổng lượng vốn ổn định yêu cầu,,,,,63687259647463.44
34,8 Net Stable Funding Ratio (%),Tỷ lệ Nguồn vốn ổn định ròng (%),,,,,1.648844979890894
