Instrument Id,Instrument Type,Currency,Face Value,Book Value,Market Value,Instrument Purchase Date,Instrument Issue Date,Instrument Maturity Date,Next Interest Payment Amount,Issuer Counterparty Type,Risk Weight As Per C41,Rating Agency,Credit Rating,Pledged to other institute,Encumbered End Date,Pledged amount used for liquidity,Accrued Interest,Provision,Next Coupon Date
B0624,Trái phiếu,VND,"200,000,000,000","263,947,173,797","224,088,000,000",2/21/2020,1/17/2019,1/17/2039,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/17/2039,"200,000,000,000","7,886,027,397", -   ,"Tuesday, January 17, 2023"
B0626,Trái phiếu,VND,"100,000,000,000","130,303,670,399","103,204,000,000",2/21/2020,9/26/2019,9/26/2049,,Kho Bạc Nhà nước,0%,,,Ngân hàng,9/26/2049,"100,000,000,000","71,232,877", -   ,"Tuesday, September 26, 2023"
B0627,Trái phiếu,VND,"50,000,000,000","69,898,190,363","57,903,500,000",2/21/2020,1/24/2019,1/24/2049,,Kho Bạc Nhà nước,0%,,,NA,,,"1,986,301,370","3,013,908,856","Tuesday, January 24, 2023"
B0640,Trái phiếu,VND,"50,000,000,000","70,447,120,624","62,500,000,000",5/27/2020,5/11/2017,5/11/2037,,Kho Bạc Nhà nước,0%,,,Ngân hàng,5/11/2037,"50,000,000,000","1,371,232,877", -   ,"Thursday, May 11, 2023"
B0656,Trái phiếu,VND,"279,700,000,000","286,983,660,306","245,702,465,000",7/2/2020,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,NHNN-SGD,1/9/2040,"200,000,000,000","7,310,515,068", -   ,"Monday, January 9, 2023"
B0752,Trái phiếu,VND,"100,000,000,000","125,887,995,019","100,501,000,000",1/20/2021,9/12/2019,9/12/2039,,Kho Bạc Nhà nước,0%,,,NA,,,"255,068,493", -   ,"Tuesday, September 12, 2023"
B0795,Trái phiếu,VND,"83,000,000,000","82,032,840,116","62,391,930,000",12/9/2021,11/25/2021,11/25/2041,,Kho Bạc Nhà nước,0%,,,NA,,,"1,903,315,068","1,788,173,396","Friday, November 25, 2022"
B0797,Trái phiếu,VND,"17,000,000,000","16,801,823,618","12,779,070,000",12/17/2021,11/25/2021,11/25/2041,,Kho Bạc Nhà nước,0%,,,NA,,,"389,835,616","366,165,722","Friday, November 25, 2022"
B0461,Trái phiếu,VND,"200,000,000,000","200,000,000,000","219,450,000,000",12/14/2017,12/14/2017,12/14/2027,,Ngân hàng,80%,Fitch Rating,BB-,NA,,,"10,723,150,685", -   ,"Wednesday, December 14, 2022"
B0514,Trái phiếu,VND,"100,000,000,000","100,000,000,000","108,392,000,000",6/29/2018,6/29/2018,6/29/2028,,Ngân hàng,80%,Fitch Rating,BB-,NA,,,"1,641,780,822", -   ,"Thursday, June 29, 2023"
B0799,Trái phiếu,VND,"300,000,000,000","300,000,000,000","303,066,000,000",12/23/2021,12/23/2021,6/23/2023,,Cty tài chính,150%,,,NA,,,"4,767,123,288", -   ,"Friday, December 23, 2022"
B0829,Trái phiếu,VND,"500,000,000,000","500,000,000,000","478,675,000,000",6/16/2022,6/16/2022,6/16/2025,,Ngân hàng,80%,Standard & Poor's,BB-,NA,,,"6,156,164,384", -   ,"Friday, June 16, 2023"
B0700,Trái phiếu đặc biệt VAMC,VND,"383,867,500,000","383,867,500,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ,"138,618,819,445","Friday, December 30, 2022"
B0703,Trái phiếu đặc biệt VAMC,VND,"190,000,000,000","190,000,000,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ,"96,850,325,000","Wednesday, November 30, 2022"
B0704,Trái phiếu đặc biệt VAMC,VND,"377,157,515,625","377,157,515,625",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ,"68,611,111,111","Wednesday, November 30, 2022"
B0705,Trái phiếu đặc biệt VAMC,VND,"163,860,900,000","163,860,900,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ,"83,210,613,281","Wednesday, November 30, 2022"
B0706,Trái phiếu đặc biệt VAMC,VND,"104,340,000,000","104,340,000,000",,11/30/2020,11/30/2020,11/30/2025,,VAMC,20%,,,NA,,, -   ,"52,985,156,250","Wednesday, November 30, 2022"
B0755,Trái phiếu đặc biệt VAMC,VND,"18,986,488,184","18,986,488,184",,4/26/2021,4/26/2021,4/26/2026,,VAMC,20%,,,NA,,, -   ,"3,797,297,637","Wednesday, April 26, 2023"
B0756,Trái phiếu đặc biệt VAMC,VND,"54,847,349,539","54,847,349,539",,4/26/2021,4/26/2021,4/26/2026,,VAMC,20%,,,NA,,, -   ,"10,969,469,908","Wednesday, April 26, 2023"
