Stable,Product,Counterparty Category,Time,Significant Penalty,Concat,ASF Factor
Stable,Operational Deposit,Corp,Less than 6 months,Yes,Operational DepositCorpLess than 6 monthsYes,50%
Stable,Operational Deposit,Corp,6 months to 1 year,Yes,Operational DepositCorp6 months to 1 yearYes,50%
Stable,Operational Deposit,Corp,More than 1 year,Yes,Operational DepositCorpMore than 1 yearYes,50%
Stable,Operational Deposit,Others,Less than 6 months,Yes,Operational DepositOthersLess than 6 monthsYes,50%
Stable,Operational Deposit,Others,6 months to 1 year,Yes,Operational DepositOthers6 months to 1 yearYes,50%
Stable,Operational Deposit,Others,More than 1 year,Yes,Operational DepositOthersMore than 1 yearYes,50%
Stable,Operational Deposit,Retail,Less than 6 months,Yes,Operational DepositRetailLess than 6 monthsYes,50%
Stable,Operational Deposit,Retail,6 months to 1 year,Yes,Operational DepositRetail6 months to 1 yearYes,50%
Stable,Operational Deposit,Retail,More than 1 year,Yes,Operational DepositRetailMore than 1 yearYes,50%
Stable,Operational Deposit,Small Business Customer,Less than 6 months,Yes,Operational DepositSmall Business CustomerLess than 6 monthsYes,50%
Stable,Operational Deposit,Small Business Customer,6 months to 1 year,Yes,Operational DepositSmall Business Customer6 months to 1 yearYes,50%
Stable,Operational Deposit,Small Business Customer,More than 1 year,Yes,Operational DepositSmall Business CustomerMore than 1 yearYes,50%
Stable,Operational Deposit,PSEs,Less than 6 months,Yes,Operational DepositPSEsLess than 6 monthsYes,50%
Stable,Operational Deposit,PSEs,6 months to 1 year,Yes,Operational DepositPSEs6 months to 1 yearYes,50%
Stable,Operational Deposit,PSEs,More than 1 year,Yes,Operational DepositPSEsMore than 1 yearYes,50%
Stable,Operational Deposit,Domestic Sovereign,Less than 6 months,No,Operational DepositDomestic SovereignLess than 6 monthsNo,50%
Stable,Operational Deposit,Domestic Sovereign,6 months to 1 year,No,Operational DepositDomestic Sovereign6 months to 1 yearNo,50%
Stable,Operational Deposit,Domestic Sovereign,More than 1 year,No,Operational DepositDomestic SovereignMore than 1 yearNo,50%
Stable,Operational Deposit,MDB,Less than 6 months,No,Operational DepositMDBLess than 6 monthsNo,50%
Stable,Operational Deposit,MDB,6 months to 1 year,No,Operational DepositMDB6 months to 1 yearNo,50%
Stable,Operational Deposit,MDB,More than 1 year,No,Operational DepositMDBMore than 1 yearNo,50%
Stable,Demand Deposit,MDB,More than 1 year,No,Demand DepositMDBMore than 1 yearNo,0%
Stable,Demand Deposit,Domestic Sovereign,More than 1 year,No,Demand DepositDomestic SovereignMore than 1 yearNo,0%
Stable,Demand Deposit,FIs,More than 1 year,No,Demand DepositFIsMore than 1 yearNo,0%
Stable,Demand Deposit,Corp,More than 1 year,No,Demand DepositCorpMore than 1 yearNo,0%
Stable,Demand Deposit,Others,More than 1 year,No,Demand DepositOthersMore than 1 yearNo,0%
Stable,Demand Deposit,Retail,More than 1 year,No,Demand DepositRetailMore than 1 yearNo,95%
Stable,Demand Deposit,Small Business Customer,More than 1 year,No,Demand DepositSmall Business CustomerMore than 1 yearNo,95%
Stable,Demand Deposit,PSEs,More than 1 year,No,Demand DepositPSEsMore than 1 yearNo,0%
Stable,Term Deposit,MDB,More than 1 year,No,Term DepositMDBMore than 1 yearNo,100%
Stable,Term Deposit,Domestic Sovereign,More than 1 year,No,Term DepositDomestic SovereignMore than 1 yearNo,100%
Stable,Term Deposit,FIs,More than 1 year,No,Term DepositFIsMore than 1 yearNo,100%
Stable,Term Deposit,Corp,More than 1 year,No,Term DepositCorpMore than 1 yearNo,100%
Stable,Term Deposit,Others,More than 1 year,No,Term DepositOthersMore than 1 yearNo,100%
Stable,Term Deposit,Retail,More than 1 year,No,Term DepositRetailMore than 1 yearNo,95%
Stable,Term Deposit,Small Business Customer,More than 1 year,No,Term DepositSmall Business CustomerMore than 1 yearNo,95%
Stable,Term Deposit,PSEs,More than 1 year,No,Term DepositPSEsMore than 1 yearNo,100%
Stable,Demand Deposit,MDB,Less than 6 months,No,Demand DepositMDBLess than 6 monthsNo,0%
Stable,Demand Deposit,MDB,6 months to 1 year,No,Demand DepositMDB6 months to 1 yearNo,0%
Stable,Term Deposit,MDB,Less than 6 months,No,Term DepositMDBLess than 6 monthsNo,50%
Stable,Term Deposit,MDB,6 months to 1 year,No,Term DepositMDB6 months to 1 yearNo,50%
Stable,Demand Deposit,Domestic Sovereign,Less than 6 months,No,Demand DepositDomestic SovereignLess than 6 monthsNo,0%
Stable,Demand Deposit,Domestic Sovereign,6 months to 1 year,No,Demand DepositDomestic Sovereign6 months to 1 yearNo,0%
Stable,Term Deposit,Domestic Sovereign,Less than 6 months,No,Term DepositDomestic SovereignLess than 6 monthsNo,50%
Stable,Term Deposit,Domestic Sovereign,6 months to 1 year,No,Term DepositDomestic Sovereign6 months to 1 yearNo,50%
Stable,Demand Deposit,FIs,Less than 6 months,No,Demand DepositFIsLess than 6 monthsNo,0%
Stable,Demand Deposit,FIs,6 months to 1 year,No,Demand DepositFIs6 months to 1 yearNo,0%
Stable,Term Deposit,FIs,Less than 6 months,No,Term DepositFIsLess than 6 monthsNo,0%
Stable,Term Deposit,FIs,6 months to 1 year,No,Term DepositFIs6 months to 1 yearNo,50%
Stable,Demand Deposit,Corp,Less than 6 months,No,Demand DepositCorpLess than 6 monthsNo,0%
Stable,Demand Deposit,Corp,6 months to 1 year,No,Demand DepositCorp6 months to 1 yearNo,0%
Stable,Term Deposit,Corp,Less than 6 months,No,Term DepositCorpLess than 6 monthsNo,50%
Stable,Term Deposit,Corp,6 months to 1 year,No,Term DepositCorp6 months to 1 yearNo,50%
Stable,Demand Deposit,Others,Less than 6 months,No,Demand DepositOthersLess than 6 monthsNo,0%
Stable,Demand Deposit,Others,6 months to 1 year,No,Demand DepositOthers6 months to 1 yearNo,0%
Stable,Term Deposit,Others,Less than 6 months,No,Term DepositOthersLess than 6 monthsNo,0%
Stable,Term Deposit,Others,6 months to 1 year,No,Term DepositOthers6 months to 1 yearNo,50%
Stable,Demand Deposit,Retail,Less than 6 months,No,Demand DepositRetailLess than 6 monthsNo,95%
Stable,Demand Deposit,Retail,6 months to 1 year,No,Demand DepositRetail6 months to 1 yearNo,95%
Stable,Term Deposit,Retail,Less than 6 months,No,Term DepositRetailLess than 6 monthsNo,95%
Stable,Term Deposit,Retail,6 months to 1 year,No,Term DepositRetail6 months to 1 yearNo,95%
Stable,Demand Deposit,Small Business Customer,Less than 6 months,No,Demand DepositSmall Business CustomerLess than 6 monthsNo,95%
Stable,Demand Deposit,Small Business Customer,6 months to 1 year,No,Demand DepositSmall Business Customer6 months to 1 yearNo,95%
Stable,Term Deposit,Small Business Customer,Less than 6 months,No,Term DepositSmall Business CustomerLess than 6 monthsNo,95%
Stable,Term Deposit,Small Business Customer,6 months to 1 year,No,Term DepositSmall Business Customer6 months to 1 yearNo,95%
Stable,Demand Deposit,PSEs,Less than 6 months,No,Demand DepositPSEsLess than 6 monthsNo,0%
Stable,Demand Deposit,PSEs,6 months to 1 year,No,Demand DepositPSEs6 months to 1 yearNo,0%
Stable,Term Deposit,PSEs,Less than 6 months,No,Term DepositPSEsLess than 6 monthsNo,50%
Stable,Term Deposit,PSEs,6 months to 1 year,No,Term DepositPSEs6 months to 1 yearNo,50%
Stable,Operational Deposit,FIs,Less than 6 months,No,Operational DepositFIsLess than 6 monthsNo,50%
Stable,Operational Deposit,FIs,6 months to 1 year,No,Operational DepositFIs6 months to 1 yearNo,50%
Stable,Operational Deposit,FIs,More than 1 year,No,Operational DepositFIsMore than 1 yearNo,50%
Stable,Operational Deposit,Corp,Less than 6 months,No,Operational DepositCorpLess than 6 monthsNo,50%
Stable,Operational Deposit,Corp,6 months to 1 year,No,Operational DepositCorp6 months to 1 yearNo,50%
Stable,Operational Deposit,Corp,More than 1 year,No,Operational DepositCorpMore than 1 yearNo,50%
Stable,Operational Deposit,Others,Less than 6 months,No,Operational DepositOthersLess than 6 monthsNo,50%
Stable,Operational Deposit,Others,6 months to 1 year,No,Operational DepositOthers6 months to 1 yearNo,50%
Stable,Operational Deposit,Others,More than 1 year,No,Operational DepositOthersMore than 1 yearNo,50%
Stable,Operational Deposit,Retail,Less than 6 months,No,Operational DepositRetailLess than 6 monthsNo,50%
Stable,Operational Deposit,Retail,6 months to 1 year,No,Operational DepositRetail6 months to 1 yearNo,50%
Stable,Operational Deposit,Retail,More than 1 year,No,Operational DepositRetailMore than 1 yearNo,50%
Stable,Operational Deposit,Small Business Customer,Less than 6 months,No,Operational DepositSmall Business CustomerLess than 6 monthsNo,50%
Stable,Operational Deposit,Small Business Customer,6 months to 1 year,No,Operational DepositSmall Business Customer6 months to 1 yearNo,50%
Stable,Operational Deposit,Small Business Customer,More than 1 year,No,Operational DepositSmall Business CustomerMore than 1 yearNo,50%
Stable,Operational Deposit,PSEs,Less than 6 months,No,Operational DepositPSEsLess than 6 monthsNo,50%
Stable,Operational Deposit,PSEs,6 months to 1 year,No,Operational DepositPSEs6 months to 1 yearNo,50%
Stable,Operational Deposit,PSEs,More than 1 year,No,Operational DepositPSEsMore than 1 yearNo,50%
Stable,Demand Deposit,MDB,No Maturity,No,Demand DepositMDBNo MaturityNo,0%
Stable,Demand Deposit,Domestic Sovereign,No Maturity,No,Demand DepositDomestic SovereignNo MaturityNo,0%
Stable,Demand Deposit,FIs,No Maturity,No,Demand DepositFIsNo MaturityNo,0%
Stable,Demand Deposit,Corp,No Maturity,No,Demand DepositCorpNo MaturityNo,0%
Stable,Demand Deposit,Others,No Maturity,No,Demand DepositOthersNo MaturityNo,0%
Stable,Demand Deposit,Retail,No Maturity,No,Demand DepositRetailNo MaturityNo,95%
Stable,Demand Deposit,Small Business Customer,No Maturity,No,Demand DepositSmall Business CustomerNo MaturityNo,95%
Stable,Demand Deposit,PSEs,No Maturity,No,Demand DepositPSEsNo MaturityNo,0%
