Instrument Id,Instrument Type,Currency,Face Value,Book Value,Instrument Issue Date,Instrument Maturity Date,Next principal payment Amount,Next Interest Payment Amount,Accrued Interest,Rating Agency,Credit Rating,Customer Type,Next principal payment due date,Next interest payment due date,Principal Amount Less than 6 months,Principal Amount 6 months to 1 year,Principal Amount More than 1 year
000ABU1222302204,Tiền gửi của TCTD khác,USD," 284,400,000,000 "," 284,400,000,000 ",8/18/2022,11/17/2022," 284,400,000,000 ",," 1,199,934,318 ",,,Ngân hàng,11/17/2022,11/17/2022," 284,400,000,000 ", -   , -   
000ABU1222592251,Tiền gửi của TCTD khác,USD," 118,500,000,000 "," 118,500,000,000 ",9/16/2022,12/8/2022," 118,500,000,000 ",," 165,575,310 ",,,Ngân hàng,12/8/2022,12/8/2022," 118,500,000,000 ", -   , -   
000ABU1222642266,Tiền gửi của TCTD khác,USD," 118,500,000,000 "," 118,500,000,000 ",9/21/2022,12/19/2022," 118,500,000,000 ",," 113,630,124 ",,,Ngân hàng,12/19/2022,12/19/2022," 118,500,000,000 ", -   , -   
000MTNNUSD2100001,Vốn vay từ các quỹ nước ngoài,USD," 35,550,000,000 "," 35,550,000,000 ",7/15/2021,7/15/2024," 35,550,000,000 ",," 288,305,523 ",,,Định chế tài chính,7/15/2024,1/15/2023, -   , -   ," 35,550,000,000 "
000MTNNUSD2100002,Vốn vay từ các quỹ nước ngoài,USD," 47,400,000,000 "," 47,400,000,000 ",7/15/2021,7/15/2024," 47,400,000,000 ",," 384,407,601 ",,,Định chế tài chính,7/15/2024,1/15/2023, -   , -   ," 47,400,000,000 "
000MTNNUSD2100003,Vốn vay từ các quỹ nước ngoài,USD," 63,990,000,000 "," 63,990,000,000 ",7/15/2021,7/15/2024," 63,990,000,000 ",," 518,950,131 ",,,Định chế tài chính,7/15/2024,1/15/2023, -   , -   ," 63,990,000,000 "
000MTNNUSD2100004,Vốn vay từ các quỹ nước ngoài,USD," 90,060,000,000 "," 90,060,000,000 ",7/15/2021,7/15/2024," 90,060,000,000 ",," 730,374,276 ",,,Định chế tài chính,7/15/2024,1/15/2023, -   , -   ," 90,060,000,000 "
000MTNNUSD2100006,Vốn vay từ các quỹ nước ngoài,USD," 47,400,000,000 "," 47,400,000,000 ",11/30/2021,11/30/2024," 47,400,000,000 ",," 550,434,870 ",,,Định chế tài chính,11/30/2024,11/30/2022, -   , -   ," 47,400,000,000 "
000MTNNUSD2100007,Vốn vay từ các quỹ nước ngoài,USD," 61,620,000,000 "," 61,620,000,000 ",11/30/2021,11/30/2024," 61,620,000,000 ",," 715,565,094 ",,,Định chế tài chính,11/30/2024,11/30/2022, -   , -   ," 61,620,000,000 "
000MTNNUSD2100008,Vốn vay từ các quỹ nước ngoài,USD," 92,430,000,000 "," 92,430,000,000 ",11/30/2021,11/30/2024," 92,430,000,000 ",," 1,073,347,878 ",,,Định chế tài chính,11/30/2024,11/30/2022, -   , -   ," 92,430,000,000 "
000MTNNUSD2100009,Vốn vay từ các quỹ nước ngoài,USD," 35,550,000,000 "," 35,550,000,000 ",11/30/2021,11/30/2024," 35,550,000,000 ",," 412,826,271 ",,,Định chế tài chính,11/30/2024,11/30/2022, -   , -   ," 35,550,000,000 "
000MTNNUSD2100010,Vốn vay từ các quỹ nước ngoài,USD," 75,543,750,000 "," 75,543,750,000 ",11/30/2021,9/16/2024," 75,543,750,000 ",," 150,030,243 ",,,Định chế tài chính,9/16/2024,12/15/2022, -   , -   ," 75,543,750,000 "
000MTNNUSD2200013,Vốn vay từ các quỹ nước ngoài,USD," 17,775,000,000 "," 17,775,000,000 ",4/29/2022,4/29/2025," 17,775,000,000 ",," 141,045,573 ",,,Định chế tài chính,4/29/2025,10/29/2022, -   , -   ," 17,775,000,000 "
000MTNNUSD2200015,Vốn vay từ các quỹ nước ngoài,USD," 17,775,000,000 "," 17,775,000,000 ",4/29/2022,4/29/2025," 17,775,000,000 ",," 141,045,573 ",,,Định chế tài chính,4/29/2025,10/29/2022, -   , -   ," 17,775,000,000 "
000MTNNUSD2200016,Vốn vay từ các quỹ nước ngoài,USD," 41,475,000,000 "," 41,475,000,000 ",4/29/2022,4/29/2025," 41,475,000,000 ",," 329,106,258 ",,,Định chế tài chính,4/29/2025,10/29/2022, -   , -   ," 41,475,000,000 "
000MTNNUSD2200017,Vốn vay từ các quỹ nước ngoài,USD," 41,475,000,000 "," 41,475,000,000 ",4/29/2022,4/29/2025," 41,475,000,000 ",," 329,106,258 ",,,Định chế tài chính,4/29/2025,10/29/2022, -   , -   ," 41,475,000,000 "
000MTNNUSD2200019,Vốn vay từ các quỹ nước ngoài,USD," 11,850,000,000 "," 11,850,000,000 ",9/29/2022,9/29/2025," 11,850,000,000 ",," 4,579,788 ",,,Định chế tài chính,9/29/2025,12/29/2022, -   , -   ," 11,850,000,000 "
000MTNNUSD2200020,Vốn vay từ các quỹ nước ngoài,USD," 20,145,000,000 "," 20,145,000,000 ",9/29/2022,9/29/2025," 20,145,000,000 ",," 7,785,687 ",,,Định chế tài chính,9/29/2025,12/29/2022, -   , -   ," 20,145,000,000 "
000MTNNUSD2200021,Vốn vay từ các quỹ nước ngoài,USD," 62,805,000,000 "," 62,805,000,000 ",9/29/2022,9/29/2025," 62,805,000,000 ",," 24,272,592 ",,,Định chế tài chính,9/29/2025,12/29/2022, -   , -   ," 62,805,000,000 "
000MTNNUSD2200022,Vốn vay từ các quỹ nước ngoài,USD," 47,400,000,000 "," 47,400,000,000 ",9/29/2022,9/29/2025," 47,400,000,000 ",," 18,318,915 ",,,Định chế tài chính,9/29/2025,12/29/2022, -   , -   ," 47,400,000,000 "
000MTNNUSD2200023,Vốn vay từ các quỹ nước ngoài,USD," 47,400,000,000 "," 47,400,000,000 ",9/29/2022,9/29/2025," 47,400,000,000 ",," 18,318,915 ",,,Định chế tài chính,9/29/2025,12/29/2022,, -   ," 47,400,000,000 "
000ABU1222582248,Tiền gửi của TCTD khác,VND," 132,000,000,000 "," 132,000,000,000 ",9/15/2022,12/12/2022," 132,000,000,000 ",," 295,101,370 ",,,Ngân hàng,12/12/2022,12/12/2022," 132,000,000,000 ", -   , -   
000ABU1222622255,Tiền gửi của TCTD khác,VND," 132,000,000,000 "," 132,000,000,000 ",9/19/2022,12/7/2022," 132,000,000,000 ",," 230,005,479 ",,,Ngân hàng,12/7/2022,12/7/2022," 132,000,000,000 ", -   , -   
000ABU1222632258,Tiền gửi của TCTD khác,VND," 132,000,000,000 "," 132,000,000,000 ",9/20/2022,12/14/2022," 132,000,000,000 ",," 206,860,274 ",,,Ngân hàng,12/14/2022,12/14/2022," 132,000,000,000 ", -   , -   
000ABU1222732301,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 34,931,507 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222732302,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 36,301,370 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222562239,Tiền gửi của TCTD khác,VND," 100,000,000,000 "," 100,000,000,000 ",9/15/2022,10/14/2022," 100,000,000,000 ",," 223,561,644 ",,,Ngân hàng,10/14/2022,10/14/2022," 100,000,000,000 ", -   , -   
000ABU1222722277,Tiền gửi của TCTD khác,VND," 50,000,000,000 "," 50,000,000,000 ",9/29/2022,10/6/2022," 50,000,000,000 ",," 14,794,521 ",,,Ngân hàng,10/6/2022,10/6/2022," 50,000,000,000 ", -   , -   
000ABU1222732296,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 35,616,438 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222732297,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 35,616,438 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222732298,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 34,246,575 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222732299,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 34,246,575 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222722281,Tiền gửi của TCTD khác,VND," 50,000,000,000 "," 50,000,000,000 ",9/29/2022,10/4/2022," 50,000,000,000 ",," 15,890,411 ",,,Ngân hàng,10/4/2022,10/4/2022," 50,000,000,000 ", -   , -   
000ABU1222092167,Tiền gửi của TCTD khác,VND," 200,000,000,000 "," 200,000,000,000 ",7/28/2022,10/25/2022," 200,000,000,000 ",," 1,816,438,356 ",,,Ngân hàng,10/25/2022,10/25/2022," 200,000,000,000 ", -   , -   
000ABU1222092168,Tiền gửi của TCTD khác,VND," 300,000,000,000 "," 300,000,000,000 ",7/28/2022,10/25/2022," 300,000,000,000 ",," 2,671,232,877 ",,,Ngân hàng,10/25/2022,10/25/2022," 300,000,000,000 ", -   , -   
000ABU1222102169,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",7/29/2022,10/25/2022," 250,000,000,000 ",," 2,191,780,822 ",,,Ngân hàng,10/25/2022,10/25/2022," 250,000,000,000 ", -   , -   
000ABU1222102170,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",7/29/2022,10/25/2022," 250,000,000,000 ",," 2,191,780,822 ",,,Ngân hàng,10/25/2022,10/25/2022," 250,000,000,000 ", -   , -   
000ABU1222622256,Tiền gửi của TCTD khác,VND," 90,000,000,000 "," 90,000,000,000 ",9/19/2022,10/3/2022," 90,000,000,000 ",," 150,904,110 ",,,Ngân hàng,10/3/2022,10/3/2022," 90,000,000,000 ", -   , -   
000ABU1222732303,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 33,561,644 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222732304,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 34,931,507 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222632261,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/20/2022,10/4/2022," 250,000,000,000 ",," 361,643,836 ",,,Ngân hàng,10/4/2022,10/4/2022," 250,000,000,000 ", -   , -   
000ABU1222632262,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/20/2022,10/4/2022," 250,000,000,000 ",," 361,643,836 ",,,Ngân hàng,10/4/2022,10/4/2022," 250,000,000,000 ", -   , -   
000ABU1222632263,Tiền gửi của TCTD khác,VND," 200,000,000,000 "," 200,000,000,000 ",9/20/2022,10/4/2022," 200,000,000,000 ",," 289,315,068 ",,,Ngân hàng,10/4/2022,10/4/2022," 200,000,000,000 ", -   , -   
000ABU1222632264,Tiền gửi của TCTD khác,VND," 300,000,000,000 "," 300,000,000,000 ",9/20/2022,10/4/2022," 300,000,000,000 ",," 433,972,603 ",,,Ngân hàng,10/4/2022,10/4/2022," 300,000,000,000 ", -   , -   
000ABU1222652268,Tiền gửi của TCTD khác,VND," 300,000,000,000 "," 300,000,000,000 ",9/22/2022,10/7/2022," 300,000,000,000 ",," 384,657,534 ",,,Ngân hàng,10/7/2022,10/7/2022," 300,000,000,000 ", -   , -   
000ABU1222652269,Tiền gửi của TCTD khác,VND," 200,000,000,000 "," 200,000,000,000 ",9/22/2022,10/7/2022," 200,000,000,000 ",," 256,438,356 ",,,Ngân hàng,10/7/2022,10/7/2022," 200,000,000,000 ", -   , -   
000ABU1222652270,Tiền gửi của TCTD khác,VND," 300,000,000,000 "," 300,000,000,000 ",9/22/2022,10/7/2022," 300,000,000,000 ",," 384,657,534 ",,,Ngân hàng,10/7/2022,10/7/2022," 300,000,000,000 ", -   , -   
000ABU1222652271,Tiền gửi của TCTD khác,VND," 200,000,000,000 "," 200,000,000,000 ",9/22/2022,10/7/2022," 200,000,000,000 ",," 256,438,356 ",,,Ngân hàng,10/7/2022,10/7/2022," 200,000,000,000 ", -   , -   
000ABU1222732305,Tiền gửi của TCTD khác,VND," 100,000,000,000 "," 100,000,000,000 ",9/30/2022,10/4/2022," 100,000,000,000 ",," 15,616,438 ",,,Ngân hàng,10/4/2022,10/4/2022," 100,000,000,000 ", -   , -   
000ABU1222732306,Tiền gửi của TCTD khác,VND," 100,000,000,000 "," 100,000,000,000 ",9/30/2022,10/3/2022," 100,000,000,000 ",," 14,520,548 ",,,Ngân hàng,10/3/2022,10/3/2022," 100,000,000,000 ", -   , -   
000ABU1222722278,Tiền gửi của TCTD khác,VND," 300,000,000,000 "," 300,000,000,000 ",9/29/2022,10/3/2022," 300,000,000,000 ",," 90,410,959 ",,,Ngân hàng,10/3/2022,10/3/2022," 300,000,000,000 ", -   , -   
000ABU1222722283,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 34,931,507 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222722284,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 34,931,507 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222722285,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 36,301,370 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222722286,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 36,301,370 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222732307,Tiền gửi của TCTD khác,VND," 100,000,000,000 "," 100,000,000,000 ",9/30/2022,10/7/2022," 100,000,000,000 ",," 15,890,411 ",,,Ngân hàng,10/7/2022,10/7/2022," 100,000,000,000 ", -   , -   
000ABU1222562233,Tiền gửi của TCTD khác,VND," 110,000,000,000 "," 110,000,000,000 ",9/13/2022,11/15/2022," 110,000,000,000 ",," 287,506,849 ",,,Ngân hàng,11/15/2022,11/15/2022," 110,000,000,000 ", -   , -   
000ABU1222582250,Tiền gửi của TCTD khác,VND," 110,000,000,000 "," 110,000,000,000 ",9/16/2022,11/14/2022," 110,000,000,000 ",," 239,589,041 ",,,Ngân hàng,11/14/2022,11/14/2022," 110,000,000,000 ", -   , -   
000ABU1222282201,Tiền gửi của TCTD khác,VND," 270,000,000,000 "," 270,000,000,000 ",8/16/2022,11/15/2022," 270,000,000,000 ",," 1,548,246,575 ",,,Ngân hàng,11/15/2022,11/15/2022," 270,000,000,000 ", -   , -   
000ABU1222312208,Tiền gửi của TCTD khác,VND," 270,000,000,000 "," 270,000,000,000 ",8/19/2022,11/17/2022," 270,000,000,000 ",," 1,479,082,192 ",,,Ngân hàng,11/17/2022,11/17/2022," 270,000,000,000 ", -   , -   
000ABU1222312209,Tiền gửi của TCTD khác,VND," 200,000,000,000 "," 200,000,000,000 ",8/19/2022,11/15/2022," 200,000,000,000 ",," 1,083,835,616 ",,,Ngân hàng,11/15/2022,11/15/2022," 200,000,000,000 ", -   , -   
000ABU1222312210,Tiền gửi của TCTD khác,VND," 300,000,000,000 "," 300,000,000,000 ",8/19/2022,11/15/2022," 300,000,000,000 ",," 1,625,753,425 ",,,Ngân hàng,11/15/2022,11/15/2022," 300,000,000,000 ", -   , -   
000ABU1222572243,Tiền gửi của TCTD khác,VND," 300,000,000,000 "," 300,000,000,000 ",9/14/2022,11/14/2022," 300,000,000,000 ",," 740,547,945 ",,,Ngân hàng,11/14/2022,11/14/2022," 300,000,000,000 ", -   , -   
000ABU1222572244,Tiền gửi của TCTD khác,VND," 200,000,000,000 "," 200,000,000,000 ",9/14/2022,11/14/2022," 200,000,000,000 ",," 498,356,164 ",,,Ngân hàng,11/14/2022,11/14/2022," 200,000,000,000 ", -   , -   
000ABU1222722280,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/29/2022,10/6/2022," 250,000,000,000 ",," 79,452,055 ",,,Ngân hàng,10/6/2022,10/6/2022," 250,000,000,000 ", -   , -   
000ABU1222732293,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 34,931,507 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222732294,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 35,616,438 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222732295,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 36,301,370 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222732300,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 36,986,301 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222562235,Tiền gửi của TCTD khác,VND," 110,000,000,000 "," 110,000,000,000 ",9/13/2022,12/8/2022," 110,000,000,000 ",," 287,506,849 ",,,Ngân hàng,12/8/2022,12/8/2022," 110,000,000,000 ", -   , -   
000ABU1222652272,Tiền gửi của TCTD khác,VND," 110,000,000,000 "," 110,000,000,000 ",9/22/2022,12/19/2022," 110,000,000,000 ",," 138,328,767 ",,,Ngân hàng,12/19/2022,12/19/2022," 110,000,000,000 ", -   , -   
000ABU1222722287,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 36,301,370 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222722288,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 36,301,370 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222722289,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 34,931,507 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222722290,Tiền gửi của TCTD khác,VND," 250,000,000,000 "," 250,000,000,000 ",9/30/2022,10/3/2022," 250,000,000,000 ",," 34,931,507 ",,,Ngân hàng,10/3/2022,10/3/2022," 250,000,000,000 ", -   , -   
000ABU1222732291,Tiền gửi của TCTD khác,VND," 150,000,000,000 "," 150,000,000,000 ",9/30/2022,10/3/2022," 150,000,000,000 ",," 20,958,904 ",,,Định chế tài chính,10/3/2022,10/3/2022," 150,000,000,000 ", -   , -   
000ABU1222732292,Tiền gửi của TCTD khác,VND," 150,000,000,000 "," 150,000,000,000 ",9/30/2022,10/3/2022," 150,000,000,000 ",," 21,780,822 ",,,Định chế tài chính,10/3/2022,10/3/2022," 150,000,000,000 ", -   , -   
000MBL1222430846,Tiền vay các TCTD khác,USD," 77,979,873 "," 77,979,873 ",8/31/2022,8/31/2023," 77,979,873 ",," 47,163 ",,,Ngân hàng,8/31/2023,8/31/2023, -   ," 39,473,746 ", -   
000MRESUSD2000006,Vốn vay từ các quỹ nước ngoài,USD," 118,500,000,000 "," 118,500,000,000 ",8/26/2020,8/26/2025," 118,500,000,000 ",," 1,189,193,715 ",,,Định chế tài chính,8/26/2025,12/15/2022, -   , -   ," 118,500,000,000 "
000MRESUSD2000008,Vốn vay từ các quỹ nước ngoài,USD," 237,000,000,000 "," 237,000,000,000 ",12/18/2020,12/18/2025," 237,000,000,000 ",," 2,378,387,430 ",,,Định chế tài chính,12/18/2025,12/15/2022, -   , -   ," 237,000,000,000 "
000MRESUSD2100009,Vốn vay từ các quỹ nước ngoài,USD," 118,500,000,000 "," 118,500,000,000 ",5/28/2021,5/28/2026," 118,500,000,000 ",," 1,189,193,715 ",,,Định chế tài chính,5/28/2026,12/15/2022, -   , -   ," 118,500,000,000 "
000JICAVND1700023,Vốn tài trợ ủy thác từ Chính phủ,VND," 26,600,000 "," 26,600,000 ",10/13/2017,10/25/2022," 26,600,000 ",," 14,674 ",,,Chính Phủ,10/25/2022,12/25/2022," 26,600,000 ", -   , -   
000JICAVND1700024,Vốn tài trợ ủy thác từ Chính phủ,VND," 33,500,000 "," 33,500,000 ",12/6/2017,12/25/2022," 33,500,000 ",," 18,481 ",,,Chính Phủ,12/25/2022,12/25/2022," 33,500,000 ", -   , -   
000JICAVND1800025,Vốn tài trợ ủy thác từ Chính phủ,VND," 50,625,000 "," 50,625,000 ",4/20/2018,4/25/2023," 16,875,000 ",," 33,514 ",,,Chính Phủ,10/25/2022,12/25/2022," 33,750,000 "," 16,875,000 ", -   
000JICAVND1800030,Vốn tài trợ ủy thác từ Chính phủ,VND," 232,500,000 "," 232,500,000 ",10/11/2018,10/25/2023," 70,500,000 ",," 153,915 ",,,Chính Phủ,10/25/2022,12/25/2022," 111,000,000 "," 81,000,000 "," 40,500,000 "
000JICAVND1800031,Vốn tài trợ ủy thác từ Chính phủ,VND," 618,750,000 "," 618,750,000 ",11/20/2018,11/25/2023," 198,750,000 ",," 341,344 ",,,Chính Phủ,11/25/2022,12/25/2022," 303,750,000 "," 210,000,000 "," 105,000,000 "
000JICAVND1900032,Vốn tài trợ ủy thác từ Chính phủ,VND," 24,281,250 "," 24,281,250 ",2/26/2019,2/25/2023," 12,140,625 ",," 16,074 ",,,Chính Phủ,11/25/2022,12/25/2022," 24,281,250 ", -   , -   
000JICAVND1900037,Vốn tài trợ ủy thác từ Chính phủ,VND," 1,875,000,000 "," 1,875,000,000 ",5/24/2019,5/25/2026," 125,000,000 ",," 1,034,375 ",,,Chính Phủ,11/25/2022,12/25/2022," 250,000,000 "," 250,000,000 "," 1,375,000,000 "
000JICAVND1900038,Vốn tài trợ ủy thác từ Chính phủ,VND," 636,300,000 "," 636,300,000 ",7/16/2019,7/25/2025," 71,725,000 ",," 421,232 ",,,Chính Phủ,10/25/2022,12/25/2022," 143,450,000 "," 143,450,000 "," 349,400,000 "
000JICAVND1900043,Vốn tài trợ ủy thác từ Chính phủ,VND," 99,000,000 "," 99,000,000 ",10/4/2019,9/25/2024," 12,375,000 ",," 54,615 ",,,Chính Phủ,12/25/2022,12/25/2022," 24,750,000 "," 24,750,000 "," 49,500,000 "
000JICAVND1900050,Vốn tài trợ ủy thác từ Chính phủ,VND," 289,250,000 "," 289,250,000 ",12/20/2019,12/25/2024," 88,250,000 ",," 159,570 ",,,Chính Phủ,12/25/2022,12/25/2022," 113,375,000 "," 50,250,000 "," 125,625,000 "
000TTC1VND1700006,Tiền vay các TCTD khác,VND," 30,713,746 "," 30,713,746 ",11/29/2017,11/29/2022," 15,357,600 ",," 84,700 ",,,Định chế tài chính,10/20/2022,10/20/2022," 30,713,746 ", -   , -   
000TTC1VND1700007,Tiền vay các TCTD khác,VND," 46,071,345 "," 46,071,345 ",12/5/2017,12/5/2022," 15,357,600 ",," 127,050 ",,,Định chế tài chính,10/20/2022,10/20/2022," 46,071,345 ", -   , -   
000TTC1VND1800008,Tiền vay các TCTD khác,VND," 54,786,182 "," 54,786,182 ",1/23/2018,1/23/2023," 13,697,000 ",," 151,067 ",,,Định chế tài chính,10/20/2022,10/20/2022," 54,786,182 ", -   , -   
000TTC1VND1800009,Tiền vay các TCTD khác,VND," 54,786,182 "," 54,786,182 ",1/23/2018,1/23/2023," 13,697,000 ",," 151,067 ",,,Định chế tài chính,10/20/2022,10/20/2022," 54,786,182 ", -   , -   
000TTC1VND1800010,Tiền vay các TCTD khác,VND," 81,393,090 "," 81,393,090 ",1/24/2018,1/24/2023," 20,348,500 ",," 224,437 ",,,Định chế tài chính,10/20/2022,10/20/2022," 81,393,090 ", -   , -   
000TTC1VND1800011,Tiền vay các TCTD khác,VND," 392,931,355 "," 392,931,355 ",6/11/2018,6/11/2023," 43,659,100 ",," 1,083,537 ",,,Định chế tài chính,10/20/2022,10/20/2022," 261,954,600 "," 130,976,755 ", -   
