Account ID with FI,Product Type,Operational,Purpose of Deposit,Currency,Deposit balance,Start Date,Maturity Date,Interest Receivable,Next Interest Payment Due Date,Accrued Interest
401003006400001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 921,216 ",4/22/2010,,,,
000000390300002,Tiền gửi KKH,,Phục vụ thanh khoản, EUR ," 2,765,529,875 ",4/22/2010,,,,
000000675100001,Tiền gửi KKH,,Phục vụ thanh khoản, JPY ," 2,130,041,243 ",4/22/2010,,,,
000073821500005,Tiền gửi KKH,,Phục vụ thanh khoản, KRW ," 144,248,620 ",7/14/2022,,,,
000000562300003,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 4,802,470 ",2/9/2015,,,,
000000662800044,Tiền gửi KKH,,Phục vụ thanh khoản, AUD ," 24,130,355 ",12/19/2011,,,,
000000797800001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 1,340,000 ",9/28/2011,,,,
000000662800042,Tiền gửi KKH,,Phục vụ thanh khoản, EUR ," 2,103,663 ",12/19/2011,,,,
000019159200001,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 529,732,446 ",5/13/2014,,,,
000000662800005,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 2,759,729,673 ",6/30/2011,,,,
000052693200002,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 5,670,786,453 ",4/16/2019,,,,
000000390300006,Tiền gửi KKH,,Phục vụ thanh khoản, AUD ," 19,922,228 ",4/22/2010,,,,
000000390300007,Tiền gửi KKH,,Phục vụ thanh khoản, CAD ," 21,457,284 ",4/22/2010,,,,
000000390300009,Tiền gửi KKH,,Phục vụ thanh khoản, JPY ," 565,779,534 ",4/22/2010,,,,
000023161600002,Tiền gửi KKH,,Phục vụ thanh khoản, EUR ," 15,006,721 ",3/19/2015,,,,
408007180400001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 1,626,090 ",4/22/2010,,,,
000000748600018,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 2,497,047,879 ",10/15/2013,,,,
000020365000001,Tiền gửi KKH,,Phục vụ thanh khoản, SGD ," 858,723,769 ",9/4/2014,,,,
812066693500001,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 6,652,353 ",1/9/2020,,,,
000000369200002,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 3,265,178,862 ",3/16/2012,,,,
408007180400002,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 6,067,911 ",4/22/2010,,,,
000000748600024,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 106,005,853,877 ",1/14/2014,,,,
000000694300004,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 6,739 ",6/6/2011,,,,
501021070100003,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 102,215,986 ",1/22/2019,,,,
408008051100002,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 12,885,607 ",7/1/2010,,,,
000000390300010,Tiền gửi KKH,,Phục vụ thanh khoản, HKD ," 409,926,824 ",2/17/2011,,,,
000000797800004,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 2,890,000 ",5/25/2015,,,,
000APU1222586491,Tiền gửi CKH,,Phục vụ thanh khoản, USD ," 142,200,000,000 ",9/15/2022,12/12/2022,"1,199,934,318",12/12/2022,218169876.00
000APU1222626500,Tiền gửi CKH,,Phục vụ thanh khoản, USD ," 142,200,000,000 ",9/19/2022,12/7/2022,"1,015,658,523",12/7/2022,154277283.00
000APU1222636501,Tiền gửi CKH,,Phục vụ thanh khoản, USD ," 142,200,000,000 ",9/20/2022,12/14/2022,"1,159,027,407",12/14/2022,149991849.00
000APU1222566477,Tiền gửi CKH,,Phục vụ thanh khoản, USD ," 118,500,000,000 ",9/13/2022,11/15/2022,"705,643,089",11/15/2022,201612345.00
000APU1222586493,Tiền gửi CKH,,Phục vụ thanh khoản, USD ," 118,500,000,000 ",9/16/2022,11/14/2022,"651,262,965",11/14/2022,165575310.00
000APU1222286373,Tiền gửi CKH,,Phục vụ thanh khoản, USD ," 284,400,000,000 ",8/16/2022,11/15/2022,"2,481,682,221",11/15/2022,1254476787.00
000APU1222316387,Tiền gửi CKH,,Phục vụ thanh khoản, USD ," 284,400,000,000 ",8/19/2022,11/17/2022,"2,489,474,070",11/17/2022,1189415310.00
000APU1222566479,Tiền gửi CKH,,Phục vụ thanh khoản, USD ," 118,500,000,000 ",9/13/2022,12/8/2022,"977,219,256",12/8/2022,204534318.00
000APU1222656523,Tiền gửi CKH,,Phục vụ thanh khoản, USD ," 118,500,000,000 ",9/22/2022,12/19/2022,"971,375,310",12/19/2022,99345186.00
000APU1222576488,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 132,000,000,000 ",9/14/2022,12/7/2022,"1,610,038,356",12/7/2022,325841096.00
000APU1222596496,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 132,000,000,000 ",9/16/2022,12/14/2022,"1,673,687,671",12/14/2022,282082192.00
000APU1222596497,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 132,000,000,000 ",9/16/2022,12/12/2022,"1,636,076,712",12/12/2022,282082192.00
000APU1222736559,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",9/30/2022,10/3/2022,"85,479,452",10/3/2022,28493151.00
000APU1222736560,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"128,219,178",10/3/2022,42739726.00
000APU1221896219,Tiền gửi CKH,,Khác, VND ," 100,000,000,000 ",7/8/2022,10/7/2022,"997,260,274",10/7/2022,931506849.00
000APU1221896220,Tiền gửi CKH,,Khác, VND ," 100,000,000,000 ",7/8/2022,10/7/2022,"997,260,274",10/7/2022,931506849.00
000APU1222586489,Tiền gửi CKH,,Khác, VND ," 100,000,000,000 ",9/15/2022,10/14/2022,"476,712,329",10/14/2022,263013699.00
000APU1222736550,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",9/30/2022,10/3/2022,"83,835,616",10/3/2022,27945205.00
000APU1222736551,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"125,753,425",10/3/2022,41917808.00
000APU1222736552,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"125,753,425",10/3/2022,41917808.00
000APU1222736553,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",9/30/2022,10/3/2022,"83,835,616",10/3/2022,27945205.00
000APU1222086277,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 250,000,000,000 ",7/27/2022,10/25/2022,"3,082,191,781",10/25/2022,2260273973.00
000APU1222086278,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 250,000,000,000 ",7/27/2022,10/25/2022,"3,143,835,616",10/25/2022,2305479452.00
000APU1222086279,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",7/27/2022,10/25/2022,"3,698,630,137",10/25/2022,2712328767.00
000APU1222086280,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",7/27/2022,10/25/2022,"2,465,753,425",10/25/2022,1808219178.00
000APU1222736561,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"123,287,671",10/3/2022,41095890.00
000APU1222736562,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",9/30/2022,10/3/2022,"82,191,781",10/3/2022,27397260.00
000APU1222496446,Tiền gửi CKH,,Khác, VND ," 300,000,000,000 ",9/6/2022,11/4/2022,"2,764,109,589",11/4/2022,1171232877.00
000APU1222496447,Tiền gửi CKH,,Khác, VND ," 200,000,000,000 ",9/6/2022,11/4/2022,"1,842,739,726",11/4/2022,780821918.00
000APU1222496448,Tiền gửi CKH,,Khác, VND ," 250,000,000,000 ",9/6/2022,11/4/2022,"2,303,424,658",11/4/2022,976027397.00
000APU1222496449,Tiền gửi CKH,,Khác, VND ," 250,000,000,000 ",9/6/2022,11/4/2022,"2,303,424,658",11/4/2022,976027397.00
000APU1222656518,Tiền gửi CKH,,Khác, VND ," 200,000,000,000 ",9/22/2022,11/22/2022,"1,871,780,822",11/22/2022,276164384.00
000APU1222656520,Tiền gửi CKH,,Khác, VND ," 250,000,000,000 ",9/22/2022,11/22/2022,"2,339,726,027",11/22/2022,345205479.00
000APU1222656521,Tiền gửi CKH,,Khác, VND ," 300,000,000,000 ",9/22/2022,11/22/2022,"2,807,671,233",11/22/2022,414246575.00
000APU1222656522,Tiền gửi CKH,,Khác, VND ," 250,000,000,000 ",9/22/2022,11/22/2022,"2,339,726,027",11/22/2022,345205479.00
000APU1222726541,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",9/30/2022,10/3/2022,"85,479,452",10/3/2022,28493151.00
000APU1222726542,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",9/30/2022,10/3/2022,"85,479,452",10/3/2022,28493151.00
000APU1222726543,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"128,219,178",10/3/2022,42739726.00
000APU1222726544,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"128,219,178",10/3/2022,42739726.00
000APU1222576485,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 110,000,000,000 ",9/14/2022,11/14/2022,"974,328,767",11/14/2022,271534247.00
000APU1222586492,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 110,000,000,000 ",9/15/2022,11/15/2022,"983,520,548",11/15/2022,257972603.00
000APU1222276368,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 250,000,000,000 ",8/15/2022,11/15/2022,"2,835,616,438",11/15/2022,1448630137.00
000APU1222276369,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 250,000,000,000 ",8/15/2022,11/15/2022,"2,835,616,438",11/15/2022,1448630137.00
000APU1222296376,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 270,000,000,000 ",8/17/2022,11/15/2022,"3,062,465,753",11/15/2022,1531232877.00
000APU1222306381,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 270,000,000,000 ",8/18/2022,11/17/2022,"3,096,493,151",11/17/2022,1497205479.00
000APU1222566482,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 250,000,000,000 ",9/13/2022,11/14/2022,"2,250,684,932",11/14/2022,653424658.00
000APU1222566483,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 250,000,000,000 ",9/13/2022,11/14/2022,"2,250,684,932",11/14/2022,653424658.00
000APU1222736555,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"130,684,932",10/3/2022,43561644.00
000APU1222736556,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"128,219,178",10/3/2022,42739726.00
000APU1222736557,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",9/30/2022,10/3/2022,"85,479,452",10/3/2022,28493151.00
000APU1222736558,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",9/30/2022,10/3/2022,"87,123,288",10/3/2022,29041096.00
000APU1222596495,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 110,000,000,000 ",9/16/2022,12/8/2022,"1,275,698,630",12/8/2022,230547945.00
000APU1222646505,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 110,000,000,000 ",9/21/2022,12/19/2022,"1,421,561,644",12/19/2022,159726027.00
000APU1222726545,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",9/30/2022,10/3/2022,"85,479,452",10/3/2022,28493151.00
000APU1222726546,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"128,219,178",10/3/2022,42739726.00
000APU1222726547,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 200,000,000,000 ",9/30/2022,10/3/2022,"85,479,452",10/3/2022,28493151.00
000APU1222726548,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"128,219,178",10/3/2022,42739726.00
000APU1222736549,Tiền gửi CKH,,Phục vụ thanh khoản, VND ," 300,000,000,000 ",9/30/2022,10/3/2022,"128,219,178",10/3/2022,42739726.00
000APU1222736563,Tiền gửi CKH,,Khác, VND ," 100,000,000,000 ",9/30/2022,10/3/2022,"46,849,315",10/3/2022,15616438.00
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
