Loan Id,Customer Id,Customer Type,Product Type,Currency,Loan Outstanding,Start Date,Maturity Date,Loan Group,Overdue Flag,Principal Repayment,Next Principle Due Date,Interest Payment,Next Interest Due Date,Risk Weight  as per C41,Accrued Interest,Provision
504STLDVND2203006,473642,Khách hàng doanh nghiệp,BO SUNG VON LUU DONG,VND,"355,627,837",8/19/2022,2/19/2023,1, No ,"8,428,379,736,900",2/19/2023,"69,274,365,300",10/25/2022,150%,"584,594","2,998,299"
402STLDVND2205326,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"6,800,000,000",5/9/2022,2/9/2023,1, No ,"161,160,000,000,000",2/9/2023,"1,390,832,888,400",10/3/2022,150%,"54,772,603","57,330,812"
402STLDVND2205343,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"2,430,000,000",5/11/2022,2/11/2023,1, No ,"57,591,000,000,000",2/11/2023,"497,018,222,100",10/3/2022,150%,"19,573,151","20,487,334"
402STLDVND2205353,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"2,640,000,000",5/16/2022,2/16/2023,1, No ,"62,568,000,000,000",2/16/2023,"539,970,419,400",10/3/2022,150%,"21,264,658","22,257,845"
402STLDVND2205382,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"7,000,000,000",5/24/2022,2/24/2023,1, No ,"165,900,000,000,000",2/24/2023,"1,431,739,728,300",10/3/2022,150%,"56,383,562","59,017,013"
402STLDVND2205472,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"4,520,000,000",7/1/2022,4/1/2023,1, No ,"107,124,000,000,000",4/1/2023,"903,950,469,000",10/3/2022,150%,"35,367,452","38,108,128"
402STLDVND2205551,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"5,500,000,000",7/28/2022,4/28/2023,1, No ,"130,350,000,000,000",4/28/2023,"1,092,797,259,300",10/3/2022,150%,"43,035,616","46,370,510"
402STLDVND2205663,37395,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"1,850,000,000",9/13/2022,6/13/2023,1, No ,"43,845,000,000,000",6/13/2023,"245,051,506,200",10/3/2022,150%,"9,305,753","15,597,353"
702STLDVND2206716,194838,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"299,000,000",9/20/2022,4/20/2023,1, No ,"7,086,300,000,000",4/20/2023,"48,536,296,500",10/15/2022,90%,"901,096","2,520,870"
702STLDVND2206717,194838,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"1,600,000,000",9/20/2022,4/20/2023,1, No ,"37,920,000,000,000",4/20/2023,"259,726,024,800",10/15/2022,90%,"4,821,918","13,489,603"
908MTLDVND2000076,204030,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,VND,"3,555,000,000",9/15/2020,9/15/2025,1, No ,"2,340,375,000,000",10/20/2022,"872,543,086,800",10/20/2022,120%,"13,499,260","29,972,211"
908STLDUSD2203456,204030,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,USD,"3,774,936,000",5/9/2022,10/9/2022,1, No ,"3,774,936,000",10/9/2022,"9,042,024",10/9/2022,120%,259,"31,826,492"
908STLDUSD2203459,204030,Khách hàng kinh doanh nhỏ,BO SUNG VON LUU DONG,USD,"3,105,648,000",5/10/2022,10/10/2022,1, No ,"3,105,648,000",10/10/2022,"7,445,118",10/10/2022,120%,201,"26,183,724"
903STLDVND2203429,555837,"Khách hàng thuộc lĩnh vực chứng khoán, bảo hiểm, tài chính",BO SUNG VON LUU DONG,VND,"686,718,000",9/23/2022,6/23/2023,1, No ,"16,275,216,600,000",6/23/2023,"133,768,914,600",10/25/2022,150%,"1,128,852","5,789,721"
