Instrument Id,Instrument Type,Currency,Face Value,Book Value,Market Value,Instrument Purchase Date,Instrument Issue Date,Instrument Maturity Date,Next Interest Payment Amount,Issuer Counterparty Type,Risk Weight As Per C41,Rating Agency,Credit Rating,Pledged to other institute,Encumbered End Date,Pledged amount used for liquidity,Accrued Interest,Provision,Next Coupon Date
B0821,Chứng chỉ tiền gửi,VND,"200,000,000,000","200,000,000,000","206,386,000,000",3/8/2022,3/8/2022,3/2/2023,,Ngân hàng,150%,,,NA,,," 6,805,479,452 ", -   ,"Thursday, March 2, 2023"
B0826,Chứng chỉ tiền gửi,VND,"100,000,000,000","100,000,000,000","103,262,000,000",3/15/2022,3/15/2022,3/9/2023,,Cty tài chính,150%,,,NA,,," 3,397,260,274 ", -   ,"Thursday, March 9, 2023"
B0828,Chứng chỉ tiền gửi,VND,"500,000,000,000","500,000,000,000","498,295,000,000",6/10/2022,6/10/2022,6/2/2023,,Ngân hàng,80%,Fitch Rating,BB-,Ngân hàng,6/2/2023,"400,000,000,000"," 6,191,780,822 ", -   ,"Friday, June 2, 2023"
B0829,Trái phiếu,VND,"500,000,000,000","500,000,000,000","478,675,000,000",6/16/2022,6/16/2022,6/16/2025,,Ngân hàng,80%,Standard & Poor's,BB-,NA,,," 6,156,164,384 ", -   ,"Friday, June 16, 2023"
B0830,Chứng chỉ tiền gửi,VND,"300,000,000,000","299,999,999,910","303,585,000,000",6/17/2022,6/16/2022,3/16/2023,,Ngân hàng,100%,Fitch Rating,B+,NA,,," 3,693,698,630 ", -   ,"Thursday, March 16, 2023"
B0831,Chứng chỉ tiền gửi,VND,"400,000,000,000","400,000,000,051","409,156,000,000",6/23/2022,6/22/2022,6/16/2023,,Cty tài chính,150%,,,NA,,," 7,747,945,205 ", -   ,"Friday, June 16, 2023"
B0832,Chứng chỉ tiền gửi,VND,"250,000,000,000","250,000,000,000","253,792,500,000",6/28/2022,6/28/2022,6/22/2023,,Ngân hàng,150%,,,NA,,," 4,099,315,068 ", -   ,"Thursday, June 22, 2023"
B0833,Chứng chỉ tiền gửi,VND,"500,000,000,000","500,000,000,000","496,570,000,000",6/29/2022,6/29/2022,6/28/2023,,Ngân hàng,80%,Fitch Rating,BB-,Ngân hàng,6/28/2023,"500,000,000,000"," 5,279,452,055 ", -   ,"Wednesday, June 28, 2023"
B0834,Chứng chỉ tiền gửi,VND,"500,000,000,000","500,000,000,000","495,900,000,000",7/7/2022,7/7/2022,7/6/2023,,Ngân hàng,80%,Fitch Rating,BB-,Ngân hàng,7/6/2023,"500,000,000,000"," 4,830,136,986 ", -   ,"Thursday, July 6, 2023"
B0835,Chứng chỉ tiền gửi,VND,"200,000,000,000","200,000,000,000","202,692,000,000",7/19/2022,7/19/2022,7/13/2023,,Cty tài chính,80%,Fitch Rating,BB-,NA,,," 2,635,616,438 ", -   ,"Thursday, July 13, 2023"
B0836,Chứng chỉ tiền gửi,VND,"200,000,000,000","200,000,000,000","205,470,000,000",7/20/2022,7/20/2022,2/1/2023,,Ngân hàng,150%,,,NA,,," 2,000,000,000 ", -   ,"Wednesday, February 1, 2023"
B0837,Chứng chỉ tiền gửi,VND,"250,000,000,000","250,000,000,000","252,847,500,000",7/20/2022,7/20/2022,7/14/2023,,Ngân hàng,150%,,,NA,,," 3,150,000,000 ", -   ,"Friday, July 14, 2023"
B0838,Chứng chỉ tiền gửi,VND,"300,000,000,000","300,000,000,000","303,273,000,000",7/20/2022,7/20/2022,7/14/2023,,Cty tài chính,150%,,,NA,,," 3,750,000,000 ", -   ,"Friday, July 14, 2023"
B0840,Trái phiếu,VND,"300,000,000,000","300,000,000,000","289,542,000,000",8/22/2022,8/22/2022,8/22/2025,,Ngân hàng,100%,Fitch Rating,B-,NA,,," 1,610,958,904 ", -   ,"Tuesday, August 22, 2023"
B0841,Chứng chỉ tiền gửi,VND,"700,000,000,000","700,000,000,000","694,204,000,000",8/24/2022,8/24/2022,8/18/2023,,Ngân hàng,100%,Fitch Rating,B-,NA,,," 3,534,520,548 ", -   ,"Friday, August 18, 2023"
B0842,Trái phiếu,VND,"300,000,000,000","300,000,000,000","314,628,000,000",9/13/2022,9/13/2022,3/13/2024,,Cty tài chính,100%,Fitch Rating,B,NA,,," 1,065,205,479 ", -   ,"Monday, March 13, 2023"
B0459,Trái phiếu,VND,"371,000,000,000","371,000,000,000",,12/11/2017,12/11/2017,12/11/2022,,Công ty cổ phần,200%,,,NA,,," 10,541,685,479 "," 2,782,500,000 ","Sunday, December 11, 2022"
B0778,Trái phiếu,VND,"300,000,000,000","300,000,000,000",,8/31/2021,8/31/2021,8/31/2024,,Công ty cổ phần,90%,,,NA,,," 2,794,520,548 "," 2,250,000,000 ","Tuesday, February 28, 2023"
B0780,Trái phiếu,VND,"237,000,000,000","237,000,000,000",,9/10/2021,9/10/2021,9/10/2024,,Công ty cổ phần,90%,,,NA,,," 1,363,561,644 "," 1,777,500,000 ","Tuesday, September 10, 2024"
B0783,Trái phiếu,VND,"160,000,000,000","160,000,000,000",,9/24/2021,9/10/2021,9/10/2024,,Công ty cổ phần,90%,,,NA,,," 920,547,945 "," 1,200,000,000 ","Friday, March 10, 2023"
B0784,Trái phiếu,VND,"53,000,000,000","53,000,000,000",,9/29/2021,9/10/2021,9/10/2024,,Công ty cổ phần,90%,,,NA,,," 304,931,507 "," 397,500,000 ","Friday, March 10, 2023"
B0800,Trái phiếu,VND,"100,000,000,000","107,238,705,917",,12/31/2021,10/21/2019,10/21/2026,,Công ty cổ phần,160%,,,NA,,," 4,549,589,041 "," 804,290,294 ","Friday, March 31, 2023"
B0801,Trái phiếu,VND,"50,000,000,000","53,633,220,143",,12/31/2021,11/27/2019,11/27/2026,,Công ty cổ phần,160%,,,NA,,," 2,274,794,521 "," 402,249,151 ","Friday, March 31, 2023"
B0802,Trái phiếu,VND,"60,000,000,000","64,371,906,364",,12/31/2021,12/24/2019,12/24/2026,,Công ty cổ phần,160%,,,NA,,," 2,729,753,425 "," 482,789,298 ","Friday, March 31, 2023"
B0803,Trái phiếu,VND,"90,000,000,000","96,561,799,985",,12/31/2021,12/30/2019,12/30/2026,,Công ty cổ phần,160%,,,NA,,," 4,094,630,137 "," 724,213,500 ","Friday, March 31, 2023"
B0804,Trái phiếu,VND,"70,000,000,000","75,156,397,924",,12/31/2021,4/20/2020,4/20/2027,,Công ty cổ phần,160%,,,NA,,," 3,184,712,329 "," 563,672,984 ","Friday, March 31, 2023"
B0805,Trái phiếu,VND,"50,000,000,000","53,686,034,381",,12/31/2021,4/29/2020,4/29/2027,,Công ty cổ phần,160%,,,NA,,," 2,274,794,521 "," 402,645,258 ","Friday, March 31, 2023"
B0806,Trái phiếu,VND,"30,000,000,000","32,214,099,368",,12/31/2021,5/12/2020,5/12/2027,,Công ty cổ phần,160%,,,NA,,," 1,364,876,712 "," 241,605,745 ","Friday, March 31, 2023"
B0807,Trái phiếu,VND,"30,000,000,000","32,216,544,997",,12/31/2021,5/25/2020,5/25/2027,,Công ty cổ phần,160%,,,NA,,," 1,364,876,712 "," 241,624,087 ","Friday, March 31, 2023"
B0808,Trái phiếu,VND,"40,000,000,000","42,957,131,155",,12/31/2021,6/2/2020,6/2/2027,,Công ty cổ phần,160%,,,NA,,," 1,819,835,616 "," 322,178,484 ","Friday, March 31, 2023"
B0809,Trái phiếu,VND,"40,000,000,000","42,960,325,701",,12/31/2021,6/15/2020,6/15/2027,,Công ty cổ phần,160%,,,NA,,," 1,819,835,616 "," 322,202,443 ","Friday, March 31, 2023"
B0810,Trái phiếu,VND,"30,000,000,000","32,222,969,700",,12/31/2021,6/30/2020,6/30/2027,,Công ty cổ phần,160%,,,NA,,," 1,364,876,712 "," 241,672,273 ","Friday, March 31, 2023"
B0811,Trái phiếu,VND,"20,000,000,000","21,482,339,887",,12/31/2021,7/3/2020,7/3/2027,,Công ty cổ phần,160%,,,NA,,," 909,917,808 "," 161,117,549 ","Friday, March 31, 2023"
B0812,Trái phiếu,VND,"20,000,000,000","21,483,056,804",,12/31/2021,7/9/2020,7/9/2027,,Công ty cổ phần,160%,,,NA,,," 909,917,808 "," 161,122,926 ","Friday, March 31, 2023"
B0813,Trái phiếu,VND,"340,000,000,000","365,230,110,094",,12/31/2021,7/18/2020,7/18/2027,,Công ty cổ phần,160%,,,NA,,," 15,468,602,740 "," 2,739,225,826 ","Friday, March 31, 2023"
B0816,Trái phiếu,VND,"237,600,000,000","237,600,000,000",,1/7/2022,12/27/2021,12/27/2024,,Công ty cổ phần,125%,,,NA,,," 6,561,665,753 "," 1,782,000,000 ","Tuesday, December 27, 2022"
B0822,Trái phiếu,VND,"30,000,000,000","29,999,980,327",,3/11/2022,12/31/2021,12/31/2024,,Công ty cổ phần,95%,,,NA,,," 764,383,562 "," 224,999,852 ","Friday, December 30, 2022"
B0823,Trái phiếu,VND,"56,600,000,000","56,599,962,885",,3/11/2022,12/31/2021,12/31/2024,,Công ty cổ phần,95%,,,NA,,," 1,442,136,986 "," 424,499,722 ","Friday, December 30, 2022"
B0824,Trái phiếu,VND,"35,000,000,000","35,000,087,979",,3/11/2022,12/31/2021,12/31/2024,,Công ty cổ phần,95%,,,NA,,," 891,780,822 "," 262,500,660 ","Friday, December 30, 2022"
B0825,Trái phiếu,VND,"178,400,000,000","178,400,000,000",,3/11/2022,12/31/2021,12/31/2024,,Công ty cổ phần,95%,,,NA,,," 4,545,534,247 "," 1,338,000,000 ","Friday, December 30, 2022"
B0251,Trái phiếu,VND,"50,000,000,000","50,652,949,174","53,793,000,000",10/30/2015,3/15/2015,3/15/2025,,Kho Bạc Nhà nước,0%,,,NHNN-SGD,3/15/2025,"50,000,000,000"," 1,726,027,397 ", -   ,"Wednesday, March 15, 2023"
B0345,Trái phiếu,VND,"14,000,000,000","14,000,000,000","15,736,700,000",10/6/2016,10/6/2016,10/6/2026,,Kho Bạc Nhà nước,0%,,,NA,,," 856,109,589 ", -   ,"Friday, October 6, 2023"
B0349,Trái phiếu,VND,"30,000,000,000","30,171,236,570","30,570,000,000",10/13/2016,9/8/2016,9/8/2023,,Kho Bạc Nhà nước,0%,,,NHNN-SGD,9/8/2023,"30,000,000,000"," 117,205,479 ", -   ,"Friday, September 8, 2023"
B0622,Trái phiếu,VND,"300,000,000,000","319,510,089,780","263,535,000,000",8/19/2020,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/9/2040,"300,000,000,000"," 7,841,095,890 ", -   ,"Monday, January 9, 2023"
B0623,Trái phiếu,VND,"50,000,000,000","53,390,484,775","42,576,000,000",8/19/2020,1/16/2020,1/16/2050,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/16/2050,"50,000,000,000"," 1,343,013,699 ", -   ,"Monday, January 16, 2023"
B0625,Trái phiếu,VND,"100,000,000,000","124,074,711,174","100,501,000,000",8/19/2020,9/12/2019,9/12/2039,,Kho Bạc Nhà nước,0%,,,Ngân hàng,9/12/2039,"100,000,000,000"," 255,068,493 ", -   ,"Tuesday, September 12, 2023"
B0638,Trái phiếu,VND,"100,000,000,000","105,027,785,277","85,152,000,000",8/19/2020,1/16/2020,1/16/2050,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/16/2050,"100,000,000,000"," 2,686,027,397 ", -   ,"Monday, January 16, 2023"
B0639,Trái phiếu,VND,"100,000,000,000","105,027,957,163","85,152,000,000",8/19/2020,1/16/2020,1/16/2050,,Kho Bạc Nhà nước,0%,,,NA,,," 2,686,027,397 ", -   ,"Monday, January 16, 2023"
B0646,Trái phiếu,VND,"50,000,000,000","52,514,494,908","42,576,000,000",8/19/2020,1/16/2020,1/16/2050,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/16/2050,"50,000,000,000"," 1,343,013,699 ", -   ,"Monday, January 16, 2023"
B0662,Trái phiếu,VND,"104,000,000,000","108,587,134,197","91,358,800,000",7/16/2020,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/9/2040,"104,000,000,000"," 2,718,246,575 ", -   ,"Monday, January 9, 2023"
B0663,Trái phiếu,VND,"300,000,000,000","313,235,259,950","263,535,000,000",7/21/2020,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/9/2040,"300,000,000,000"," 7,841,095,890 ", -   ,"Monday, January 9, 2023"
B0664,Trái phiếu,VND,"500,000,000,000","516,226,657,989","439,225,000,000",7/23/2020,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/9/2040,"500,000,000,000"," 13,068,493,151 ", -   ,"Monday, January 9, 2023"
B0665,Trái phiếu,VND,"56,000,000,000","55,998,480,847","46,581,360,000",9/24/2020,8/27/2020,8/27/2035,,Kho Bạc Nhà nước,0%,,,Ngân hàng,8/27/2035,"56,000,000,000"," 161,095,890 ", -   ,"Sunday, August 27, 2023"
B0666,Trái phiếu,VND,"104,000,000,000","103,997,178,715","86,508,240,000",9/24/2020,8/27/2020,8/27/2035,,Kho Bạc Nhà nước,0%,,,Ngân hàng,8/27/2035,"104,000,000,000"," 299,178,082 ", -   ,"Sunday, August 27, 2023"
B0670,Trái phiếu,VND,"500,000,000,000","518,599,982,860","408,255,000,000",10/15/2020,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,8/20/2040,"500,000,000,000"," 1,898,630,137 ", -   ,"Sunday, August 20, 2023"
B0671,Trái phiếu,VND,"250,000,000,000","249,998,046,579","190,777,500,000",10/20/2020,10/15/2020,10/15/2050,,Kho Bạc Nhà nước,0%,,,Ngân hàng,10/15/2050,"250,000,000,000"," 7,693,150,685 ", -   ,"Saturday, October 15, 2022"
B0672,Trái phiếu,VND,"100,000,000,000","99,998,654,284","76,311,000,000",10/26/2020,10/15/2020,10/15/2050,,Kho Bạc Nhà nước,0%,,,NA,,," 3,077,260,274 ", -   ,"Saturday, October 15, 2022"
B0684,Trái phiếu,VND,"200,000,000,000","202,306,544,872","169,488,000,000",11/19/2020,10/1/2020,10/1/2035,,Kho Bạc Nhà nước,0%,,,NA,,," 5,800,000,000 ", -   ,"Sunday, October 1, 2023"
B0708,Trái phiếu,VND,"500,000,000,000","521,362,387,957","408,255,000,000",12/3/2020,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,NA,,," 1,898,630,137 ", -   ,"Sunday, August 20, 2023"
B0709,Trái phiếu,VND,"100,000,000,000","103,114,665,225","83,382,000,000",12/9/2020,5/14/2020,5/14/2035,,Kho Bạc Nhà nước,0%,,,NA,,," 1,112,328,767 ", -   ,"Sunday, May 14, 2023"
B0710,Trái phiếu,VND,"50,000,000,000","50,701,847,969","41,015,000,000",12/9/2020,11/26/2020,11/26/2035,,Kho Bạc Nhà nước,0%,,,Ngân hàng,11/26/2035,"50,000,000,000"," 1,142,876,712 ", -   ,"Saturday, November 26, 2022"
B0711,Trái phiếu,VND,"50,000,000,000","51,599,248,599","42,372,000,000",12/9/2020,10/1/2020,10/1/2035,,Kho Bạc Nhà nước,0%,,,NA,,," 1,450,000,000 ", -   ,"Sunday, October 1, 2023"
B0712,Trái phiếu,VND,"400,000,000,000","403,441,008,685","328,120,000,000",12/10/2020,11/26/2020,11/26/2035,,Kho Bạc Nhà nước,0%,,,NA,,," 9,143,013,699 ", -   ,"Saturday, November 26, 2022"
B0713,Trái phiếu,VND,"110,000,000,000","111,304,115,602","90,233,000,000",12/10/2020,11/26/2020,11/26/2035,,Kho Bạc Nhà nước,0%,,,Ngân hàng,11/26/2035,"100,000,000,000"," 2,514,328,767 ", -   ,"Saturday, November 26, 2022"
B0714,Trái phiếu,VND,"200,000,000,000","205,961,050,114","169,488,000,000",12/10/2020,10/1/2020,10/1/2035,,Kho Bạc Nhà nước,0%,,,NA,,," 5,800,000,000 ", -   ,"Sunday, October 1, 2023"
B0715,Trái phiếu,VND,"380,000,000,000","398,869,893,597","310,273,800,000",12/17/2020,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,NA,,," 1,442,958,904 ", -   ,"Sunday, August 20, 2023"
B0716,Trái phiếu,VND,"300,000,000,000","298,694,660,460","239,166,000,000",12/17/2020,12/17/2020,12/17/2035,,Kho Bạc Nhà nước,0%,,,NA,,," 5,917,808,219 ", -   ,"Saturday, December 17, 2022"
B0723,Trái phiếu,VND,"300,000,000,000","314,900,871,338","244,953,000,000",12/23/2020,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,NA,,," 1,139,178,082 ", -   ,"Sunday, August 20, 2023"
B0724,Trái phiếu,VND,"400,000,000,000","398,257,300,679","318,888,000,000",12/23/2020,12/17/2020,12/17/2035,,Kho Bạc Nhà nước,0%,,,NA,,," 7,890,410,959 ", -   ,"Saturday, December 17, 2022"
B0725,Trái phiếu,VND,"500,000,000,000","527,627,254,902","408,255,000,000",12/24/2020,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,NA,,," 1,898,630,137 ", -   ,"Sunday, August 20, 2023"
B0726,Trái phiếu,VND,"700,000,000,000","699,994,164,812","558,054,000,000",12/24/2020,12/17/2020,12/17/2035,,Kho Bạc Nhà nước,0%,,,Ngân hàng,12/17/2035,"300,000,000,000"," 13,808,219,178 ", -   ,"Saturday, December 17, 2022"
B0746,Trái phiếu,VND,"116,000,000,000","114,980,568,792","90,931,240,000",1/14/2021,1/14/2021,1/14/2036,,Kho Bạc Nhà nước,0%,,,NA,,," 1,983,123,288 ", -   ,"Saturday, January 14, 2023"
