Instrument Id,Instrument Type,Currency,Face Value,Book Value,Instrument Issue Date,Instrument Maturity Date,Next Principal Payment Amount,Next Interest Payment Amount,Rating Agency,Credit Rating,Customer Type,Next Principal Payment Due Date,Next Interest Payment Due Date,Accrued Interest,Included in Capital Tier 2
100000985000015,Chứng chỉ tiền gửi,VND,"590,000,000 "," 590,000,000 ",3/11/2020,3/11/2026," 590,000,000 ",,,,Khách hàng cá nhân,3/11/2026,3/11/2023," 23,742,247 ", Yes 
100000985000017,Chứng chỉ tiền gửi,VND,"450,000,000 "," 450,000,000 ",5/25/2020,5/25/2026," 450,000,000 ",,,,Khách hàng cá nhân,5/25/2026,5/25/2023," 11,769,041 ", Yes 
100000985000038,Chứng chỉ tiền gửi,VND,"240,000,000 "," 240,000,000 ",9/28/2020,9/28/2026," 240,000,000 ",,,,Khách hàng cá nhân,9/28/2026,9/28/2023," 159,781 ", Yes 
100000985000039,Chứng chỉ tiền gửi,VND,"280,000,000 "," 280,000,000 ",10/5/2020,10/5/2026," 280,000,000 ",,,,Khách hàng cá nhân,10/5/2026,10/5/2022," 19,662,137 ", Yes 
100001167200004,Chứng chỉ tiền gửi,VND,"500,000,000 "," 500,000,000 ",2/5/2020,2/5/2026," 500,000,000 ",,,,Khách hàng cá nhân,2/5/2026,2/5/2023," 23,473,973 ", Yes 
100001167200010,Chứng chỉ tiền gửi,VND,"500,000,000 "," 500,000,000 ",3/18/2022,9/18/2023," 500,000,000 ",,,,Khách hàng cá nhân,9/18/2023,9/18/2023," 1,253,699 ", No 
100001366000010,Chứng chỉ tiền gửi,VND,"500,000,000 "," 500,000,000 ",1/25/2017,1/25/2024," 500,000,000 ",,,,Khách hàng cá nhân,1/25/2024,1/25/2023," 24,600,000 ", Yes 
100001404100004,Chứng chỉ tiền gửi,VND,"1,410,000,000 "," 1,410,000,000 ",3/23/2017,3/23/2024," 1,410,000,000 ",,,,Khách hàng cá nhân,3/23/2024,3/23/2023," 53,016,000 ", Yes 
100001602500027,Chứng chỉ tiền gửi,VND,"800,000,000 "," 800,000,000 ",6/23/2021,6/23/2028," 800,000,000 ",,,,Khách hàng cá nhân,6/23/2028,6/23/2023," 16,438,356 ", Yes 
100001602500028,Chứng chỉ tiền gửi,VND,"1,000,000,000 "," 1,000,000,000 ",7/2/2021,7/2/2028," 1,000,000,000 ",,,,Khách hàng cá nhân,7/2/2028,7/2/2023," 18,698,630 ", Yes 
100003388500005,Chứng chỉ tiền gửi,VND,"200,000,000 "," 200,000,000 ",3/15/2017,3/15/2024," 200,000,000 ",,,,Khách hàng cá nhân,3/15/2024,3/15/2023," 7,840,000 ", Yes 
100004223700081,Chứng chỉ tiền gửi,VND,"600,000,000 "," 600,000,000 ",3/8/2017,3/8/2024," 600,000,000 ",,,,Khách hàng cá nhân,3/8/2024,3/8/2023," 24,360,000 ", Yes 
100004286100019,Chứng chỉ tiền gửi,VND,"60,000,000 "," 60,000,000 ",3/8/2017,3/8/2024," 60,000,000 ",,,,Khách hàng cá nhân,3/8/2024,3/8/2023," 2,436,000 ", Yes 
100004286100020,Chứng chỉ tiền gửi,VND,"100,000,000 "," 100,000,000 ",3/16/2017,3/16/2024," 100,000,000 ",,,,Khách hàng cá nhân,3/16/2024,3/16/2023," 3,900,000 ", Yes 
100004286100021,Chứng chỉ tiền gửi,VND,"100,000,000 "," 100,000,000 ",3/21/2017,3/21/2024," 100,000,000 ",,,,Khách hàng cá nhân,3/21/2024,3/21/2023," 3,800,000 ", Yes 
100004286100022,Chứng chỉ tiền gửi,VND,"100,000,000 "," 100,000,000 ",3/23/2017,3/23/2024," 100,000,000 ",,,,Khách hàng cá nhân,3/23/2024,3/23/2023," 3,760,000 ", Yes 
100004286100082,Chứng chỉ tiền gửi,VND,"800,000,000 "," 800,000,000 ",10/22/2020,10/22/2026," 800,000,000 ",,,,Khách hàng cá nhân,10/22/2026,10/22/2022," 53,532,055 ", Yes 
100009201500013,Chứng chỉ tiền gửi,VND,"100,000,000 "," 100,000,000 ",3/20/2017,3/20/2024," 100,000,000 ",,,,Khách hàng cá nhân,3/20/2024,3/20/2023," 3,820,000 ", Yes 
100009484400093,Chứng chỉ tiền gửi,VND,"50,000,000 "," 50,000,000 ",1/16/2017,1/16/2024," 50,000,000 ",,,,Khách hàng cá nhân,1/16/2024,1/16/2023," 2,550,000 ", Yes 
100009484400094,Chứng chỉ tiền gửi,VND,"10,000,000 "," 10,000,000 ",1/9/2017,1/9/2024," 10,000,000 ",,,,Khách hàng cá nhân,1/9/2024,1/9/2023," 524,000 ", Yes 
100009484400098,Chứng chỉ tiền gửi,VND,"40,000,000 "," 40,000,000 ",2/24/2017,2/24/2024," 40,000,000 ",,,,Khách hàng cá nhân,2/24/2024,2/24/2023," 1,736,000 ", Yes 
100009484400102,Chứng chỉ tiền gửi,VND,"40,000,000 "," 40,000,000 ",2/16/2017,2/16/2024," 40,000,000 ",,,,Khách hàng cá nhân,2/16/2024,2/16/2023," 1,800,000 ", Yes 
100009484400108,Chứng chỉ tiền gửi,VND,"250,000,000 "," 250,000,000 ",6/3/2020,6/3/2026," 250,000,000 ",,,,Khách hàng cá nhân,6/3/2026,6/3/2023," 6,082,192 ", Yes 
100009484400113,Chứng chỉ tiền gửi,VND,"400,000,000 "," 400,000,000 ",10/14/2021,4/14/2023," 400,000,000 ",,,,Khách hàng cá nhân,4/14/2023,4/14/2023," 27,581,370 ", No 
100009484400114,Chứng chỉ tiền gửi,VND,"400,000,000 "," 400,000,000 ",10/14/2021,4/14/2023," 400,000,000 ",,,,Khách hàng cá nhân,4/14/2023,4/14/2023," 27,581,370 ", No 
100009484400115,Chứng chỉ tiền gửi,VND,"450,000,000 "," 450,000,000 ",10/14/2021,4/14/2023," 450,000,000 ",,,,Khách hàng cá nhân,4/14/2023,4/14/2023," 31,029,041 ", No 
100009484400127,Chứng chỉ tiền gửi,VND,"400,000,000 "," 400,000,000 ",10/14/2021,4/14/2023," 400,000,000 ",,,,Khách hàng cá nhân,4/14/2023,4/14/2023," 27,581,370 ", No 
100009484400135,Chứng chỉ tiền gửi,VND,"1,170,000,000 "," 1,170,000,000 ",2/7/2020,2/7/2026," 1,170,000,000 ",,,,Khách hàng cá nhân,2/7/2026,2/7/2023," 54,467,507 ", Yes 
100009484400142,Chứng chỉ tiền gửi,VND,"430,000,000 "," 430,000,000 ",2/27/2017,2/27/2024," 430,000,000 ",,,,Khách hàng cá nhân,2/27/2024,2/27/2023," 18,404,000 ", Yes 
100009484400143,Chứng chỉ tiền gửi,VND,"160,000,000 "," 160,000,000 ",3/6/2017,3/6/2024," 160,000,000 ",,,,Khách hàng cá nhân,3/6/2024,3/6/2023," 6,560,000 ", Yes 
100009484400144,Chứng chỉ tiền gửi,VND,"2,300,000,000 "," 2,300,000,000 ",2/28/2017,2/28/2024," 2,300,000,000 ",,,,Khách hàng cá nhân,2/28/2024,2/28/2023," 97,980,000 ", Yes 
100009484400146,Chứng chỉ tiền gửi,VND,"200,000,000 "," 200,000,000 ",2/17/2017,2/17/2024," 200,000,000 ",,,,Khách hàng cá nhân,2/17/2024,2/17/2023," 8,960,000 ", Yes 
100009484400147,Chứng chỉ tiền gửi,VND,"100,000,000 "," 100,000,000 ",1/5/2017,1/5/2024," 100,000,000 ",,,,Khách hàng cá nhân,1/5/2024,1/5/2023," 5,320,000 ", Yes 
100009484400148,Chứng chỉ tiền gửi,VND,"180,000,000 "," 180,000,000 ",1/21/2017,1/21/2024," 180,000,000 ",,,,Khách hàng cá nhân,1/21/2024,1/21/2023," 9,000,000 ", Yes 
100009484400149,Chứng chỉ tiền gửi,VND,"200,000,000 "," 200,000,000 ",1/6/2017,1/6/2024," 200,000,000 ",,,,Khách hàng cá nhân,1/6/2024,1/6/2023," 10,600,000 ", Yes 
100009484400153,Chứng chỉ tiền gửi,VND,"550,000,000 "," 550,000,000 ",2/9/2017,2/9/2024," 550,000,000 ",,,,Khách hàng cá nhân,2/9/2024,2/9/2023," 25,520,000 ", Yes 
100009484400154,Chứng chỉ tiền gửi,VND,"3,500,000,000 "," 3,500,000,000 ",1/11/2017,1/11/2024," 3,500,000,000 ",,,,Khách hàng cá nhân,1/11/2024,1/11/2023," 182,000,000 ", Yes 
100009484400155,Chứng chỉ tiền gửi,VND,"150,000,000 "," 150,000,000 ",2/7/2017,2/7/2024," 150,000,000 ",,,,Khách hàng cá nhân,2/7/2024,2/7/2023," 7,020,000 ", Yes 
100009876500037,Chứng chỉ tiền gửi,VND,"420,000,000 "," 420,000,000 ",2/25/2017,2/25/2024," 420,000,000 ",,,,Khách hàng cá nhân,2/25/2024,2/25/2023," 18,144,000 ", Yes 
100009876500038,Chứng chỉ tiền gửi,VND,"180,000,000 "," 180,000,000 ",2/28/2017,2/28/2024," 180,000,000 ",,,,Khách hàng cá nhân,2/28/2024,2/28/2023," 7,668,000 ", Yes 
100009876500041,Chứng chỉ tiền gửi,VND,"200,000,000 "," 200,000,000 ",3/3/2017,3/3/2024," 200,000,000 ",,,,Khách hàng cá nhân,3/3/2024,3/3/2023," 8,320,000 ", Yes 
100009876500042,Chứng chỉ tiền gửi,VND,"290,000,000 "," 290,000,000 ",3/17/2017,3/17/2024," 290,000,000 ",,,,Khách hàng cá nhân,3/17/2024,3/17/2023," 11,252,000 ", Yes 
100010345800029,Chứng chỉ tiền gửi,VND,"3,500,000,000 "," 3,500,000,000 ",5/14/2020,5/14/2026," 3,500,000,000 ",,,,Khách hàng cá nhân,5/14/2026,5/14/2023," 99,342,466 ", Yes 
100010658500031,Chứng chỉ tiền gửi,VND,"600,000,000 "," 600,000,000 ",2/15/2017,2/15/2024," 600,000,000 ",,,,Khách hàng cá nhân,2/15/2024,2/15/2023," 27,120,000 ", Yes 
100010658500032,Chứng chỉ tiền gửi,VND,"330,000,000 "," 330,000,000 ",3/1/2017,3/1/2024," 330,000,000 ",,,,Khách hàng cá nhân,3/1/2024,3/1/2023," 13,860,000 ", Yes 
100011027900025,Chứng chỉ tiền gửi,VND,"80,000,000 "," 80,000,000 ",3/9/2017,3/9/2024," 80,000,000 ",,,,Khách hàng cá nhân,3/9/2024,3/9/2023," 3,232,000 ", Yes 
100011027900068,Chứng chỉ tiền gửi,VND,"80,000,000 "," 80,000,000 ",11/7/2019,11/7/2025," 80,000,000 ",,,,Khách hàng cá nhân,11/7/2025,11/7/2022," 5,104,219 ", Yes 
100011249300031,Chứng chỉ tiền gửi,VND,"300,000,000 "," 300,000,000 ",7/31/2019,7/31/2025," 300,000,000 ",,,,Khách hàng cá nhân,7/31/2025,7/31/2023," 3,821,918 ", Yes 
100011249300034,Chứng chỉ tiền gửi,VND,"600,000,000 "," 600,000,000 ",10/11/2019,10/11/2025," 600,000,000 ",,,,Khách hàng cá nhân,10/11/2025,10/11/2022," 41,432,877 ", Yes 
100011549700020,Chứng chỉ tiền gửi,VND,"100,000,000 "," 100,000,000 ",2/23/2017,2/23/2024," 100,000,000 ",,,,Khách hàng cá nhân,2/23/2024,2/23/2023," 4,360,000 ", Yes 
100011562100021,Chứng chỉ tiền gửi,VND,"70,000,000 "," 70,000,000 ",3/8/2017,3/8/2024," 70,000,000 ",,,,Khách hàng cá nhân,3/8/2024,3/8/2023," 2,842,000 ", Yes 
100013015700030,Chứng chỉ tiền gửi,VND,"400,000,000 "," 400,000,000 ",2/25/2017,2/25/2024," 400,000,000 ",,,,Khách hàng cá nhân,2/25/2024,2/25/2023," 17,280,000 ", Yes 
100013476800105,Chứng chỉ tiền gửi,VND,"250,000,000 "," 250,000,000 ",6/24/2021,6/24/2028," 250,000,000 ",,,,Khách hàng cá nhân,6/24/2028,6/24/2023," 5,085,616 ", Yes 
100013476800107,Chứng chỉ tiền gửi,VND,"250,000,000 "," 250,000,000 ",6/18/2021,6/18/2028," 250,000,000 ",,,,Khách hàng cá nhân,6/18/2028,6/18/2023," 5,393,836 ", Yes 
100014232400052,Chứng chỉ tiền gửi,VND,"300,000,000 "," 300,000,000 ",7/1/2021,7/1/2028," 300,000,000 ",,,,Khách hàng cá nhân,7/1/2028,7/1/2023," 5,671,233 ", Yes 
100014633000065,Chứng chỉ tiền gửi,VND,"500,000,000 "," 500,000,000 ",2/14/2017,2/14/2024," 500,000,000 ",,,,Khách hàng cá nhân,2/14/2024,2/14/2023," 22,700,000 ", Yes 
100014633000066,Chứng chỉ tiền gửi,VND,"50,000,000 "," 50,000,000 ",2/14/2017,2/14/2024," 50,000,000 ",,,,Khách hàng cá nhân,2/14/2024,2/14/2023," 2,270,000 ", Yes 
100016860600038,Chứng chỉ tiền gửi,VND,"70,000,000 "," 70,000,000 ",3/1/2017,3/1/2024," 70,000,000 ",,,,Khách hàng cá nhân,3/1/2024,3/1/2023," 2,940,000 ", Yes 
100016860600042,Chứng chỉ tiền gửi,VND,"70,000,000 "," 70,000,000 ",3/24/2017,3/24/2024," 70,000,000 ",,,,Khách hàng cá nhân,3/24/2024,3/24/2023," 2,618,000 ", Yes 
100016919400015,Chứng chỉ tiền gửi,VND,"30,000,000 "," 30,000,000 ",3/23/2017,3/23/2024," 30,000,000 ",,,,Khách hàng cá nhân,3/23/2024,3/23/2023," 1,128,000 ", Yes 
100016919400016,Chứng chỉ tiền gửi,VND,"30,000,000 "," 30,000,000 ",3/24/2017,3/24/2024," 30,000,000 ",,,,Khách hàng cá nhân,3/24/2024,3/24/2023," 1,122,000 ", Yes 
100017582000007,Chứng chỉ tiền gửi,VND,"170,000,000 "," 170,000,000 ",7/7/2021,7/7/2028," 170,000,000 ",,,,Khách hàng cá nhân,7/7/2028,7/7/2023," 2,975,000 ", Yes 
100017937100108,Chứng chỉ tiền gửi,VND,"10,000,000 "," 10,000,000 ",8/3/2019,8/3/2025," 10,000,000 ",,,,Khách hàng cá nhân,8/3/2025,8/3/2023," 121,233 ", Yes 
100018459100050,Chứng chỉ tiền gửi,VND,"100,000,000 "," 100,000,000 ",3/3/2017,3/3/2024," 100,000,000 ",,,,Khách hàng cá nhân,3/3/2024,3/3/2023," 4,160,000 ", Yes 
100018459100053,Chứng chỉ tiền gửi,VND,"110,000,000 "," 110,000,000 ",3/24/2017,3/24/2024," 110,000,000 ",,,,Khách hàng cá nhân,3/24/2024,3/24/2023," 4,114,000 ", Yes 
100018459100056,Chứng chỉ tiền gửi,VND,"120,000,000 "," 120,000,000 ",2/14/2020,2/14/2026," 120,000,000 ",,,,Khách hàng cá nhân,2/14/2026,2/14/2023," 5,420,712 ", Yes 
100018459100058,Chứng chỉ tiền gửi,VND,"100,000,000 "," 100,000,000 ",2/14/2017,2/14/2024," 100,000,000 ",,,,Khách hàng cá nhân,2/14/2024,2/14/2023," 4,540,000 ", Yes 
100018459100062,Chứng chỉ tiền gửi,VND,"400,000,000 "," 400,000,000 ",3/23/2017,3/23/2024," 400,000,000 ",,,,Khách hàng cá nhân,3/23/2024,3/23/2023," 15,040,000 ", Yes 
100018459100063,Chứng chỉ tiền gửi,VND,"130,000,000 "," 130,000,000 ",2/27/2017,2/27/2024," 130,000,000 ",,,,Khách hàng cá nhân,2/27/2024,2/27/2023," 5,564,000 ", Yes 
100018516500009,Chứng chỉ tiền gửi,VND,"2,000,000,000 "," 2,000,000,000 ",2/27/2017,2/27/2024," 2,000,000,000 ",,,,Khách hàng cá nhân,2/27/2024,2/27/2023," 85,600,000 ", Yes 
100018516500010,Chứng chỉ tiền gửi,VND,"1,000,000,000 "," 1,000,000,000 ",3/17/2017,3/17/2024," 1,000,000,000 ",,,,Khách hàng cá nhân,3/17/2024,3/17/2023," 38,800,000 ", Yes 
100018606400010,Chứng chỉ tiền gửi,VND,"70,000,000 "," 70,000,000 ",3/3/2017,3/3/2024," 70,000,000 ",,,,Khách hàng cá nhân,3/3/2024,3/3/2023," 2,912,000 ", Yes 
100018860100017,Chứng chỉ tiền gửi,VND,"50,000,000 "," 50,000,000 ",1/23/2017,1/23/2024," 50,000,000 ",,,,Khách hàng cá nhân,1/23/2024,1/23/2023," 2,480,000 ", Yes 
100018860100018,Chứng chỉ tiền gửi,VND,"450,000,000 "," 450,000,000 ",2/15/2017,2/15/2024," 450,000,000 ",,,,Khách hàng cá nhân,2/15/2024,2/15/2023," 20,340,000 ", Yes 
100018860100020,Chứng chỉ tiền gửi,VND,"40,000,000 "," 40,000,000 ",2/20/2020,2/20/2026," 40,000,000 ",,,,Khách hàng cá nhân,2/20/2026,2/20/2023," 1,759,562 ", Yes 
100018860100021,Chứng chỉ tiền gửi,VND,"10,000,000 "," 10,000,000 ",1/15/2020,1/15/2026," 10,000,000 ",,,,Khách hàng cá nhân,1/15/2026,1/15/2023," 510,904 ", Yes 
100018877100035,Chứng chỉ tiền gửi,VND,"60,000,000 "," 60,000,000 ",3/13/2017,3/13/2024," 60,000,000 ",,,,Khách hàng cá nhân,3/13/2024,3/13/2023," 2,376,000 ", Yes 
100018903700012,Chứng chỉ tiền gửi,VND,"450,000,000 "," 450,000,000 ",5/29/2020,5/29/2026," 450,000,000 ",,,,Khách hàng cá nhân,5/29/2026,5/29/2023," 11,404,110 ", Yes 
100019697300015,Chứng chỉ tiền gửi,VND,"200,000,000 "," 200,000,000 ",3/7/2017,3/7/2024," 200,000,000 ",,,,Khách hàng cá nhân,3/7/2024,3/7/2023," 8,160,000 ", Yes 
100019824400007,Chứng chỉ tiền gửi,VND,"250,000,000 "," 250,000,000 ",3/22/2022,4/22/2023," 250,000,000 ",,,,Khách hàng cá nhân,4/22/2023,4/22/2023," 9,517,808 ", No 
100019997100011,Chứng chỉ tiền gửi,VND,"150,000,000 "," 150,000,000 ",3/14/2017,3/14/2024," 150,000,000 ",,,,Khách hàng cá nhân,3/14/2024,3/14/2023," 5,910,000 ", Yes 
100019997100012,Chứng chỉ tiền gửi,VND,"300,000,000 "," 300,000,000 ",3/14/2017,3/14/2024," 300,000,000 ",,,,Khách hàng cá nhân,3/14/2024,3/14/2023," 11,820,000 ", Yes 
100019997100025,Chứng chỉ tiền gửi,VND,"450,000,000 "," 450,000,000 ",7/5/2021,7/5/2028," 450,000,000 ",,,,Khách hàng cá nhân,7/5/2028,7/5/2023," 8,136,986 ", Yes 
100021167700030,Chứng chỉ tiền gửi,VND,"80,000,000 "," 80,000,000 ",3/2/2017,3/2/2024," 80,000,000 ",,,,Khách hàng cá nhân,3/2/2024,3/2/2023," 3,344,000 ", Yes 
100023656900044,Chứng chỉ tiền gửi,VND,"320,000,000 "," 320,000,000 ",10/2/2020,10/2/2026," 320,000,000 ",,,,Khách hàng cá nhân,10/2/2026,10/2/2022," 22,657,753 ", Yes 
100023656900046,Chứng chỉ tiền gửi,VND,"110,000,000 "," 110,000,000 ",1/6/2020,1/6/2026," 110,000,000 ",,,,Khách hàng cá nhân,1/6/2026,1/6/2023," 5,815,233 ", Yes 
100023656900054,Chứng chỉ tiền gửi,VND,"1,800,000,000 "," 1,800,000,000 ",7/6/2021,7/6/2028," 1,800,000,000 ",,,,Khách hàng cá nhân,7/6/2028,7/6/2023," 32,178,082 ", Yes 
100023656900056,Chứng chỉ tiền gửi,VND,"210,000,000 "," 210,000,000 ",8/3/2019,8/3/2025," 210,000,000 ",,,,Khách hàng cá nhân,8/3/2025,8/3/2023," 2,545,890 ", Yes 
100024570600025,Chứng chỉ tiền gửi,VND,"100,000,000 "," 100,000,000 ",3/17/2022,4/17/2023," 100,000,000 ",,,,Khách hàng cá nhân,4/17/2023,4/17/2023," 3,905,753 ", No 
100026221500051,Chứng chỉ tiền gửi,VND,"10,000,000 "," 10,000,000 ",8/5/2019,8/5/2025," 10,000,000 ",,,,Khách hàng cá nhân,8/5/2025,8/5/2023," 117,123 ", Yes 
100026684700049,Chứng chỉ tiền gửi,VND,"110,000,000 "," 110,000,000 ",7/3/2021,7/3/2028," 110,000,000 ",,,,Khách hàng cá nhân,7/3/2028,7/3/2023," 2,034,247 ", Yes 
100027611500066,Chứng chỉ tiền gửi,VND,"2,000,000,000 "," 2,000,000,000 ",9/21/2019,9/21/2025," 2,000,000,000 ",,,,Khách hàng cá nhân,9/21/2025,9/21/2023," 4,219,178 ", Yes 
100027611500067,Chứng chỉ tiền gửi,VND,"1,000,000,000 "," 1,000,000,000 ",9/21/2019,9/21/2025," 1,000,000,000 ",,,,Khách hàng cá nhân,9/21/2025,9/21/2023," 2,109,589 ", Yes 
100027611500068,Chứng chỉ tiền gửi,VND,"200,000,000 "," 200,000,000 ",9/21/2019,9/21/2025," 200,000,000 ",,,,Khách hàng cá nhân,9/21/2025,9/21/2023," 421,918 ", Yes 
100027626500007,Chứng chỉ tiền gửi,VND,"3,480,000,000 "," 3,480,000,000 ",2/28/2017,2/28/2024," 3,480,000,000 ",,,,Khách hàng cá nhân,2/28/2024,2/28/2023," 148,248,000 ", Yes 
100027713400006,Chứng chỉ tiền gửi,VND,"2,500,000,000 "," 2,500,000,000 ",3/3/2017,3/3/2024," 2,500,000,000 ",,,,Khách hàng cá nhân,3/3/2024,3/3/2023," 104,000,000 ", Yes 
100027713400007,Chứng chỉ tiền gửi,VND,"2,000,000,000 "," 2,000,000,000 ",3/3/2017,3/3/2024," 2,000,000,000 ",,,,Khách hàng cá nhân,3/3/2024,3/3/2023," 83,200,000 ", Yes 
100027713400008,Chứng chỉ tiền gửi,VND,"1,500,000,000 "," 1,500,000,000 ",3/3/2017,3/3/2024," 1,500,000,000 ",,,,Khách hàng cá nhân,3/3/2024,3/3/2023," 62,400,000 ", Yes 
100027713400016,Chứng chỉ tiền gửi,VND,"2,000,000,000 "," 2,000,000,000 ",3/27/2017,3/27/2024," 2,000,000,000 ",,,,Khách hàng cá nhân,3/27/2024,3/27/2023," 73,600,000 ", Yes 
100027713400019,Chứng chỉ tiền gửi,VND,"1,500,000,000 "," 1,500,000,000 ",3/27/2017,3/27/2024," 1,500,000,000 ",,,,Khách hàng cá nhân,3/27/2024,3/27/2023," 55,200,000 ", Yes 
100027713400020,Chứng chỉ tiền gửi,VND,"1,500,000,000 "," 1,500,000,000 ",3/27/2017,3/27/2024," 1,500,000,000 ",,,,Khách hàng cá nhân,3/27/2024,3/27/2023," 55,200,000 ", Yes 
100027713400043,Chứng chỉ tiền gửi,VND,"190,000,000 "," 190,000,000 ",3/8/2022,4/8/2023," 190,000,000 ",,,,Khách hàng cá nhân,4/8/2023,4/8/2023," 7,758,247 ", No 
100027835100010,Chứng chỉ tiền gửi,VND,"1,050,000,000 "," 1,050,000,000 ",3/1/2017,3/1/2024," 1,050,000,000 ",,,,Khách hàng cá nhân,3/1/2024,3/1/2023," 44,100,000 ", Yes 
100027835100014,Chứng chỉ tiền gửi,VND,"200,000,000 "," 200,000,000 ",9/18/2019,9/18/2025," 200,000,000 ",,,,Khách hàng cá nhân,9/18/2025,9/18/2023," 548,493 ", Yes 
100027835100015,Chứng chỉ tiền gửi,VND,"400,000,000 "," 400,000,000 ",10/16/2019,10/16/2025," 400,000,000 ",,,,Khách hàng cá nhân,10/16/2025,10/16/2022," 27,232,877 ", Yes 
100027835100016,Chứng chỉ tiền gửi,VND,"400,000,000 "," 400,000,000 ",12/18/2019,12/18/2025," 400,000,000 ",,,,Khách hàng cá nhân,12/18/2025,12/18/2022," 22,330,959 ", Yes 
100027924100003,Chứng chỉ tiền gửi,VND,"110,000,000 "," 110,000,000 ",3/1/2017,3/1/2024," 110,000,000 ",,,,Khách hàng cá nhân,3/1/2024,3/1/2023," 4,620,000 ", Yes 
100028287600016,Chứng chỉ tiền gửi,VND,"830,000,000 "," 830,000,000 ",6/4/2020,6/4/2026," 830,000,000 ",,,,Khách hàng cá nhân,6/4/2026,6/4/2023," 20,024,603 ", Yes 
100028631700005,Chứng chỉ tiền gửi,VND,"370,000,000 "," 370,000,000 ",3/7/2017,3/7/2024," 370,000,000 ",,,,Khách hàng cá nhân,3/7/2024,3/7/2023," 15,096,000 ", Yes 
